DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,NA,7.4,1.33,10.73
2009-10-02,NA,4.66,2.16,10.45
2009-10-03,NA,0,2.01,8.29
2009-10-04,NA,0,4.61,6.26
2009-10-05,NA,0.13,5.29,4.38
2009-10-06,NA,1.65,6.24,2.37
2009-10-07,NA,0.01,4.6,1.58
2009-10-08,NA,0.85,5.09,1.05
2009-10-09,NA,0.01,3.25,0.74
2009-10-10,NA,0,1.47,0.59
2009-10-11,NA,0,0.98,0.51
2009-10-12,NA,0,-1.93,0.47
2009-10-13,NA,0.22,-3.38,0.57
2009-10-14,NA,2.2,-0.9,1.05
2009-10-15,NA,4.23,1.21,2.67
2009-10-16,NA,18.99,2.15,3.94
2009-10-17,NA,0.69,3.76,3.19
2009-10-18,NA,2.75,2.27,2.46
2009-10-19,NA,0.1,2.26,1.96
2009-10-20,NA,3.67,1.81,1.74
2009-10-21,NA,13.65,1.89,7.05
2009-10-22,NA,16.45,3.08,6.34
2009-10-23,NA,11.82,1.51,6.53
2009-10-24,NA,4.37,0.91,8.96
2009-10-25,NA,30.68,0.21,19.57
2009-10-26,NA,10.5,-0.26,43.49
2009-10-27,NA,3.08,-1.03,46.34
2009-10-28,NA,15.05,-1.24,49.77
2009-10-29,NA,40.4,-0.06,88.92
2009-10-30,NA,67.69,1.28,104.34
2009-10-31,NA,20.77,-0.7,114.81
2009-11-01,NA,15.37,-1.9,128.46
2009-11-02,NA,5.27,-0.59,139.37
2009-11-03,NA,1.47,-0.89,142.89
2009-11-04,NA,10.12,-0.88,145.24
2009-11-05,NA,31.51,-0.77,169.23
2009-11-06,NA,13.09,-2.19,189.25
2009-11-07,NA,4.48,-2.49,197.6
2009-11-08,NA,9.35,-2.08,203.21
2009-11-09,NA,7.37,-2.42,213.44
2009-11-10,NA,3.74,-3.44,218.18
2009-11-11,NA,2.61,-1.72,221.92
2009-11-12,NA,23.97,-1.76,228.57
2009-11-13,NA,3.27,-5.43,249.26
2009-11-14,NA,30.3,-3.97,263.05
2009-11-15,NA,4.88,-4.27,284.47
2009-11-16,NA,7.02,-4.69,290.09
2009-11-17,NA,9.61,-4.71,296.32
2009-11-18,NA,7.13,-4.71,305.19
2009-11-19,NA,9.37,-3.85,316.48
2009-11-20,NA,7.22,-3.44,321.75
2009-11-21,NA,2.71,-3.75,327.78
2009-11-22,NA,0.65,-2.52,328.81
2009-11-23,NA,18.58,-3.08,339.49
2009-11-24,NA,14.26,-3.96,351.38
2009-11-25,NA,27.09,-1.8,375.22
2009-11-26,NA,10.76,-2.4,396.89
2009-11-27,NA,11.13,-3.75,406.34
2009-11-28,NA,26.14,-3.6,423.51
2009-11-29,NA,7.77,-3,441.05
2009-11-30,NA,1.17,-5.81,445.86
2009-12-01,NA,0.04,-9.2,446.11
2009-12-02,NA,0,-8.84,446.12
2009-12-03,NA,8.05,-5.74,450.14
2009-12-04,NA,0.04,-7.44,454.22
2009-12-05,NA,0.01,-15.26,454.19
2009-12-06,NA,0,-16.19,454.18
2009-12-07,NA,0.01,-14.29,454.2
2009-12-08,NA,0,-13.55,454.21
2009-12-09,NA,0.01,-12.86,454.22
2009-12-10,NA,0.99,-8.32,454.59
2009-12-11,NA,1.14,-4.38,455.89
2009-12-12,NA,0.14,-7.44,456.5
2009-12-13,NA,0,-13.9,456.53
2009-12-14,NA,0,-18.81,456.51
2009-12-15,NA,4.28,-17.1,458.68
2009-12-16,NA,13.4,-10.97,467.25
2009-12-17,NA,9.5,-4.69,477.12
2009-12-18,NA,16.7,-5.2,495.47
2009-12-19,NA,0.2,-11.03,500.59
2009-12-20,NA,0.51,-10.57,500.76
2009-12-21,NA,0.1,-12.51,501.22
2009-12-22,NA,0,-15.05,501.24
2009-12-23,NA,4.66,-10.35,502.66
2009-12-24,NA,2.91,-4.49,508.14
2009-12-25,NA,0.22,-5.77,509.04
2009-12-26,NA,0,-6.63,509.06
2009-12-27,NA,0,-7.37,509.07
2009-12-28,NA,2.81,-6.57,509.62
2009-12-29,NA,9.21,-3.68,515.28
2009-12-30,NA,1.06,-6.81,521.79
2009-12-31,NA,0.96,-12.89,522.41
2010-01-01,NA,5.3,-10.71,527.41
2010-01-02,NA,0.47,-7.34,528.62
2010-01-03,NA,0.02,-13.01,528.77
2010-01-04,NA,0,-13.85,528.77
2010-01-05,NA,0,-13.63,528.78
2010-01-06,NA,1.61,-11.22,529.41
2010-01-07,NA,8.76,-7.06,532.78
2010-01-08,NA,4.62,-4.09,542.21
2010-01-09,NA,27.54,-2.49,558.5
2010-01-10,NA,47.58,0.25,592.46
2010-01-11,NA,23.84,0.58,624.41
2010-01-12,NA,21.82,0.26,640.51
2010-01-13,NA,9.82,0.05,651.1
2010-01-14,NA,24.92,-1,662.53
2010-01-15,NA,9.79,-1.38,684.4
2010-01-16,NA,4.13,-2.26,690.06
2010-01-17,NA,11.55,-3.1,697.14
2010-01-18,NA,3.3,-2.26,704.19
2010-01-19,NA,2,-2.17,706.9
2010-01-20,NA,1.8,-1.63,709.64
2010-01-21,NA,0.14,-2.01,710.18
2010-01-22,NA,0,-3.74,710.31
2010-01-23,NA,0,-6.31,710.33
2010-01-24,NA,0.8,-9.4,710.4
2010-01-25,NA,5.49,-9.57,713.68
2010-01-26,NA,0.73,-7.21,717.18
2010-01-27,NA,3.59,-7.59,718.01
2010-01-28,NA,22.99,-4.07,733.6
2010-01-29,NA,4.61,-1.8,747.03
2010-01-30,NA,2.27,-0.91,749.49
2010-01-31,NA,5.08,-0.83,753.49
2010-02-01,NA,0.22,-1.23,756.24
2010-02-02,NA,0.01,-4.61,756.28
2010-02-03,NA,0.23,-7.64,756.31
2010-02-04,NA,1.5,-5.06,757.82
2010-02-05,NA,1.59,-1.82,759.05
2010-02-06,NA,4.68,-1.64,762.04
2010-02-07,NA,5.62,-1.08,767.19
