DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,8.85,14.57,2,10.59
2009-10-02,6.1,0.42,2.25,9.94
2009-10-03,3.56,0,3.46,7.81
2009-10-04,2.82,0,4.12,5.65
2009-10-05,2.48,0,6.52,3.74
2009-10-06,2.51,0.44,5.5,2.35
2009-10-07,2.45,0.01,6.08,1.45
2009-10-08,2.09,0.12,6.39,0.85
2009-10-09,1.98,0,5.56,0.5
2009-10-10,1.86,0,4.35,0.33
2009-10-11,1.76,0.46,1.75,0.29
2009-10-12,1.65,3.64,0.39,1.24
2009-10-13,1.67,7.96,-0.9,7.24
2009-10-14,4.52,15.57,0.94,10.31
2009-10-15,6.32,7.29,3,9.69
2009-10-16,27.72,50.01,5.06,6.33
2009-10-17,11.98,12.88,4.96,4.03
2009-10-18,10.54,0.2,5.17,2.72
2009-10-19,4.23,0,3.26,1.9
2009-10-20,2.98,2.21,2.82,1.47
2009-10-21,12.62,21.52,2.75,6.09
2009-10-22,16.95,19.78,2.55,7.79
2009-10-23,26.61,15.56,1.76,14.79
2009-10-24,9.1,2,0.84,15.99
2009-10-25,9.63,32.93,-0.52,26.97
2009-10-26,17.33,20.4,-0.71,53.02
2009-10-27,6.78,0.44,-0.88,56.98
2009-10-28,4.15,19.42,-3.06,60.43
2009-10-29,7.65,66.78,0.27,93.14
2009-10-30,69.3,74.67,2.43,94.96
2009-10-31,56.93,29.49,-0.22,105.08
2009-11-01,27.23,24.3,-0.53,121.16
2009-11-02,23.39,26.51,0.36,148.59
2009-11-03,16.58,0.53,-0.22,153.78
2009-11-04,6.68,17.01,0.2,155.39
2009-11-05,48.88,60.53,0.95,178.6
2009-11-06,28.09,25.45,-1.51,204.09
2009-11-07,16.46,10.63,-2.52,221.26
2009-11-08,12.5,21.53,-2.48,234.33
2009-11-09,19.92,31.81,-1.42,269.66
2009-11-10,11.45,13.36,-2.36,284.8
2009-11-11,8.25,3.91,-3.36,293.93
2009-11-12,6.16,6.37,-6.3,295.29
2009-11-13,5.99,16.87,-4.7,315.58
2009-11-14,5.14,18.22,-6.8,322.42
2009-11-15,10.45,63.34,-2.35,361.73
2009-11-16,21.41,37.13,-1.29,419.32
2009-11-17,11.65,27.62,-3.72,445.92
2009-11-18,7.17,35.38,-5.2,467.96
2009-11-19,7.26,26.25,-3.98,504.91
2009-11-20,7.82,16.42,-3.27,528.42
2009-11-21,5.94,11.15,-4.89,537.77
2009-11-22,5.23,7.22,-2.57,550.26
2009-11-23,6.77,24.64,-2.35,567.93
2009-11-24,7.55,38.71,-3.04,584.62
2009-11-25,43.56,55.89,0.53,625.74
2009-11-26,24.5,6.5,-1.23,639.83
2009-11-27,10.37,8.07,-2.83,642.74
2009-11-28,10.12,61.84,-0.65,675.28
2009-11-29,45.67,75.99,0.74,724.33
2009-11-30,32.8,12.5,-2.07,751.81
2009-12-01,10.31,0,-5.31,752.81
2009-12-02,5.42,0,-7.86,752.74
