DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,NA,2.4,0.74,2.22
2009-10-02,NA,11.91,-0.33,10.59
2009-10-03,NA,3.95,-1.48,17.16
2009-10-04,NA,0.03,-3.66,16.64
2009-10-05,NA,0.02,-4.82,15.69
2009-10-06,NA,6.27,-0.72,16.34
2009-10-07,NA,0.59,-3.25,17.08
2009-10-08,NA,1.52,-9.39,17.34
2009-10-09,NA,0.03,-13.29,17.72
2009-10-10,NA,0.01,-13.75,17.39
2009-10-11,NA,0.02,-13.37,17.08
2009-10-12,NA,0.3,-13,16.92
2009-10-13,NA,0.97,-10.32,17.13
2009-10-14,NA,0.88,-4.09,17.81
2009-10-15,NA,0.59,-0.27,17.43
2009-10-16,NA,4.26,-0.95,16.57
2009-10-17,NA,11.07,2.18,15.87
2009-10-18,NA,7.01,1.35,20.25
2009-10-19,NA,0.35,-0.87,19.71
2009-10-20,NA,0.07,-6.17,19.23
2009-10-21,NA,5.02,-2.59,21.04
2009-10-22,NA,1.29,0.02,23.72
2009-10-23,NA,5.66,-0.24,25.46
2009-10-24,NA,0.81,-3,28.15
2009-10-25,NA,6.16,-8.58,29.61
2009-10-26,NA,8.04,-3.64,38.58
2009-10-27,NA,0.8,-5.81,42.44
2009-10-28,NA,0.93,-6.97,43.1
2009-10-29,NA,28.33,-7.14,54.39
2009-10-30,NA,17.23,-2.67,81.28
2009-10-31,NA,10.79,-1.72,95.61
2009-11-01,NA,2.34,-5.09,101.15
2009-11-02,NA,4.4,-5.95,104.23
2009-11-03,NA,0.98,-4.94,106.87
2009-11-04,NA,0.02,-6.98,107.21
2009-11-05,NA,3.26,-2.95,107.87
2009-11-06,NA,12.53,-3.66,118.13
2009-11-07,NA,4.58,-7.08,125.39
2009-11-08,NA,1.15,-8.25,127.99
2009-11-09,NA,7.98,-7.55,130.33
2009-11-10,NA,5.74,-5.73,140.2
2009-11-11,NA,3.6,-6.76,145.17
2009-11-12,NA,0.45,-9.83,146.29
2009-11-13,NA,4.63,-10.51,148.38
2009-11-14,NA,0.32,-11.97,151.26
2009-11-15,NA,7.83,-8.77,154.9
