DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,0.61,12.03,1.63,3.47
2009-10-02,0.62,5.84,0.67,12.98
2009-10-03,0.63,1.56,1.4,13.51
2009-10-04,0.61,0,1.84,12.26
2009-10-05,0.6,0,2.02,10.78
2009-10-06,0.58,3.09,2.56,8.59
2009-10-07,0.6,0.07,0.9,6.86
2009-10-08,0.59,0.65,-0.75,6.61
2009-10-09,0.57,0,-4.56,6.42
2009-10-10,0.51,0,-4.65,6.2
2009-10-11,0.48,0.01,-4.46,5.99
2009-10-12,0.5,0.22,-4.98,5.88
2009-10-13,0.49,1.95,-3.85,6.74
2009-10-14,0.51,0.78,-0.03,7.96
2009-10-15,0.51,1.75,1.68,8.16
2009-10-16,0.51,6.77,2.15,7.07
2009-10-17,0.54,16.48,3.28,4.87
2009-10-18,0.65,4.39,2.24,3.73
2009-10-19,0.72,0.02,0.76,3.19
2009-10-20,0.64,0.02,0.19,2.93
2009-10-21,0.65,14.19,0.13,8.01
2009-10-22,0.77,0.57,0.73,13.83
2009-10-23,0.76,7.58,0.81,15.24
2009-10-24,0.85,0.37,-1.15,16.42
2009-10-25,0.8,7.65,-2.02,18.41
2009-10-26,0.77,10.22,-1.7,29
2009-10-27,0.77,1.51,-3.77,34.26
2009-10-28,0.73,1.02,-3.1,35.19
2009-10-29,0.71,36.98,-3.79,49.54
2009-10-30,0.66,14.19,0.49,81.43
2009-10-31,1.03,10.61,0.21,84.06
2009-11-01,1.09,0.26,-3.64,85.18
2009-11-02,0.97,9.19,-3.21,89.39
2009-11-03,0.91,0.47,-3.23,94.71
2009-11-04,0.86,0.01,-3.65,94.73
2009-11-05,0.83,3.77,0.61,95.07
2009-11-06,0.98,8.69,-1.59,99.89
2009-11-07,0.99,6.13,-4.14,105.21
2009-11-08,0.9,1.38,-4.79,109.05
2009-11-09,0.85,8.93,-3.19,111.17
2009-11-10,0.83,6.68,-3.33,121.41
2009-11-11,0.8,5.98,-4.13,129.58
2009-11-12,0.73,0.08,-6.72,131.1
2009-11-13,0.73,9.93,-7.37,135.75
2009-11-14,0.72,0.29,-7.91,141.05
2009-11-15,0.72,1.19,-3.71,141.62
2009-11-16,0.76,11.32,-1.05,147.86
2009-11-17,0.8,8.07,-2.13,159.71
2009-11-18,0.74,1.22,-5.79,160.93
2009-11-19,0.72,10.02,-2.72,166.2
2009-11-20,0.7,9.89,-1.26,175.43
2009-11-21,0.71,3.39,-5.72,182.54
2009-11-22,0.69,5.98,-4.7,186.88
2009-11-23,0.69,5.05,-3.83,191.99
2009-11-24,0.64,2.88,-5.63,195.69
2009-11-25,0.65,10.1,-1.74,203.04
2009-11-26,0.81,6.67,-2.22,212.7
2009-11-27,0.83,0.77,-7.21,214.36
2009-11-28,0.71,9.09,-6.28,219.02
2009-11-29,0.68,4.75,-2.9,225.44
2009-11-30,0.66,13.07,-4.85,238.69
2009-12-01,0.65,0.14,-10.3,241.63
2009-12-02,0.63,0.01,-13,241.62
2009-12-03,0.61,0.65,-11.7,241.68
2009-12-04,0.6,2.2,-8.91,244.02
2009-12-05,0.58,0.04,-14.33,244.48
2009-12-06,0.57,0.02,-18.77,244.44
2009-12-07,0.55,0.23,-19.96,244.48
2009-12-08,0.54,0.19,-20.11,244.73
2009-12-09,0.52,0.3,-19.56,244.93
2009-12-10,0.51,3.07,-15.12,246.7
2009-12-11,0.5,3.15,-12.32,249.78
2009-12-12,0.49,1.52,-12.45,252.05
2009-12-13,0.48,0.73,-21.88,253.44
2009-12-14,0.46,0.01,-28.06,253.45
2009-12-15,0.45,4.87,-18.47,256.16
2009-12-16,0.45,3.83,-11.5,259.65
2009-12-17,0.44,1.99,-7.11,263.92
