DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,NA,5.7,-1.01,4.84
2009-10-02,NA,9.43,-1.88,14.08
2009-10-03,NA,3.89,-3,20.61
2009-10-04,NA,0.01,-5.3,20.9
2009-10-05,NA,0.01,-4.02,19.88
2009-10-06,NA,6.18,-1.43,20.93
2009-10-07,NA,0.07,-4.64,22.48
2009-10-08,NA,1.42,-8.02,22.84
2009-10-09,NA,0.04,-13.45,23.23
2009-10-10,NA,0.01,-13.49,22.98
2009-10-11,NA,0.01,-13.16,22.72
2009-10-12,NA,0.39,-12.59,22.66
2009-10-13,NA,2.18,-10.44,23.47
2009-10-14,NA,1.44,-4.13,25.26
2009-10-15,NA,1.31,-0.9,25.82
2009-10-16,NA,11.78,-1.59,25.63
2009-10-17,NA,10.46,0.96,25.52
2009-10-18,NA,4.31,-0,30.18
2009-10-19,NA,0.04,-3.02,29.96
2009-10-20,NA,0.06,-5.52,29.76
2009-10-21,NA,10.78,-2.58,34.12
2009-10-22,NA,1.25,-1.58,40.93
2009-10-23,NA,6.68,-1.58,44.6
2009-10-24,NA,1.47,-4.61,48.95
2009-10-25,NA,8.62,-8.23,51.63
2009-10-26,NA,10.26,-5.27,63.39
2009-10-27,NA,2.61,-6.83,69.6
2009-10-28,NA,1.37,-7.29,71.66
2009-10-29,NA,37.44,-7.79,86.46
2009-10-30,NA,21.26,-2.91,121.85
2009-10-31,NA,15.82,-2.87,141.56
2009-11-01,NA,1.24,-6.35,147.06
2009-11-02,NA,9.69,-6.33,152.82
2009-11-03,NA,1.14,-5.57,158.26
2009-11-04,NA,0.01,-7.99,158.58
2009-11-05,NA,5.24,-3.65,159.9
2009-11-06,NA,15.03,-5.08,173.83
2009-11-07,NA,6.08,-7.44,182.27
2009-11-08,NA,1.35,-8.75,185.62
2009-11-09,NA,11.56,-8.77,188.81
2009-11-10,NA,5.07,-6.6,200.4
2009-11-11,NA,4.94,-8.09,206.9
2009-11-12,NA,0.23,-10.89,208.21
2009-11-13,NA,7.5,-11.62,211.81
2009-11-14,NA,0.56,-12.93,215.97
2009-11-15,NA,8.72,-9.45,220.16
2009-11-16,NA,19.76,-5.69,235.56
2009-11-17,NA,15.26,-5.87,257.25
2009-11-18,NA,4,-9.23,261.77
2009-11-19,NA,15.76,-7.79,272.15
2009-11-20,NA,16.71,-5.06,289.31
2009-11-21,NA,2.58,-8.22,298.13
2009-11-22,NA,5.02,-8.41,302.06
2009-11-23,NA,7.65,-6.92,307.27
2009-11-24,NA,3.97,-8.75,312.75
2009-11-25,NA,21.25,-5.26,326.55
2009-11-26,NA,6.06,-4.75,341.91
2009-11-27,NA,1.6,-10.29,344.36
2009-11-28,NA,11.76,-9.8,349.32
2009-11-29,NA,18.87,-5.98,364.89
2009-11-30,NA,16.73,-7.15,388.8
