DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,0.32,2.49,0.63,0.74
2009-10-02,0.33,10.38,-1.07,3.92
2009-10-03,0.33,0.99,0.48,5.08
2009-10-04,0.32,0,0.8,4.72
2009-10-05,0.31,0,2.33,4.24
2009-10-06,0.3,0.56,3.11,3.48
2009-10-07,0.3,2.62,-0.56,3.36
2009-10-08,0.29,0.83,-1.86,3.35
2009-10-09,0.27,0,-5.99,3.37
2009-10-10,0.27,0,-5.69,3.26
2009-10-11,0.29,0.01,-6.18,3.15
2009-10-12,0.34,0.19,-5.66,3.14
2009-10-13,0.28,1.57,-3.17,3.62
2009-10-14,0.3,1.2,0.49,5.21
2009-10-15,0.32,0.38,1.68,4.82
2009-10-16,0.32,1.58,1.64,4.08
2009-10-17,0.38,16.5,2.25,2.97
2009-10-18,0.72,7.46,2.72,1.94
2009-10-19,0.57,0.05,0.97,1.52
2009-10-20,0.47,0.1,-0.48,1.4
2009-10-21,0.62,11.59,-0.8,3.22
2009-10-22,0.61,1.96,0.79,4.6
2009-10-23,0.59,10.2,-0.26,4.93
2009-10-24,0.63,0.29,-1.73,5.9
2009-10-25,0.5,6.64,-2.08,7.13
2009-10-26,0.52,10.59,-2.07,18.05
2009-10-27,0.49,0.43,-4.85,22.11
2009-10-28,0.44,0.42,-4.11,21.95
2009-10-29,0.43,23.63,-4.22,31.22
2009-10-30,0.5,6.08,0.61,49.08
2009-10-31,0.7,7.39,-1,48.1
2009-11-01,0.65,0.29,-4.04,48.07
2009-11-02,0.57,4.22,-2.66,49.66
2009-11-03,0.53,0.2,-1.26,52.12
2009-11-04,0.49,0,-0.19,51.94
2009-11-05,0.48,1.31,-0.16,51.09
2009-11-06,0.47,2.2,-2.98,51.8
2009-11-07,0.47,3.67,-4.39,53.71
2009-11-08,0.45,0.34,-4.6,55.84
2009-11-09,0.45,4.1,-4,56.92
2009-11-10,0.46,6.43,-3.93,63.49
2009-11-11,0.45,8.01,-4.96,71.13
2009-11-12,0.42,0.04,-5.57,74.05
2009-11-13,0.43,4.45,-6.2,75.8
2009-11-14,0.47,0.04,-7.12,78.35
2009-11-15,0.45,1.26,-4.05,78.67
2009-11-16,0.44,10.67,-2.07,83.99
2009-11-17,0.49,8.86,-3.73,97.03
2009-11-18,0.45,1.14,-6.83,98.82
2009-11-19,0.43,9.92,-3.9,104.11
2009-11-20,0.45,7.05,-2.89,112.49
2009-11-21,0.44,4.13,-6.3,118.4
2009-11-22,0.43,4.15,-5.17,122.76
2009-11-23,0.41,3.53,-4.02,125.46
2009-11-24,0.4,2.69,-3.27,129.49
2009-11-25,0.4,3.81,-1.02,132.32
2009-11-26,0.49,6.91,-2.11,138.54
2009-11-27,0.46,0.16,-5.67,140.48
2009-11-28,0.42,5.26,-3.91,143.14
2009-11-29,0.44,0.37,-0.52,145.94
2009-11-30,0.43,6.55,-4.45,150.12
2009-12-01,0.43,0.02,-9.09,152.22
2009-12-02,0.4,0,-8.89,152.18
2009-12-03,0.36,0.06,-7.49,152.18
2009-12-04,0.34,1.68,-7.16,153.47
2009-12-05,0.33,0.02,-13.97,153.73
2009-12-06,0.33,0,-17,153.67
2009-12-07,0.32,0.03,-17.69,153.66
2009-12-08,0.33,0.16,-16.09,153.71
2009-12-09,0.32,0.25,-14.23,153.94
2009-12-10,0.31,2.75,-10.87,155.64
2009-12-11,0.31,2.56,-9.48,157.77
2009-12-12,0.31,0.69,-13.13,159.89
2009-12-13,0.31,0.64,-19.69,160.38
2009-12-14,0.3,0.19,-21.87,160.56
2009-12-15,0.31,4.38,-13.81,162.76
2009-12-16,0.31,2.04,-7.49,165.88
2009-12-17,0.33,0.77,-5.54,167.77
2009-12-18,0.33,1.89,-6.17,168.61
2009-12-19,0.34,2.76,-6.23,172.21
2009-12-20,0.34,8,-7.3,176.19
2009-12-21,0.34,10.35,-3.95,186.4
2009-12-22,0.33,0.22,-15.17,190.79
2009-12-23,0.32,0.08,-19.99,190.72
2009-12-24,0.32,0.02,-16.45,190.74
2009-12-25,0.31,0.06,-13.5,190.81
2009-12-26,0.31,0.04,-10.85,190.89
2009-12-27,0.31,0.01,-12.57,190.93
2009-12-28,0.3,0.04,-14.27,190.97
2009-12-29,0.31,0.19,-13.69,191.08
2009-12-30,0.3,1.56,-11.82,191.7
2009-12-31,0.3,3.8,-8.82,195.12
2010-01-01,0.3,3.41,-7.13,197.85
2010-01-02,0.29,5.14,-5.7,204.04
2010-01-03,0.3,1.07,-5.56,205.75
2010-01-04,0.31,0.77,-6.95,206.45
2010-01-05,0.31,0.49,-12.08,207.27
2010-01-06,0.32,0.01,-19.43,207.1
2010-01-07,0.31,0.01,-15.88,207.08
2010-01-08,0.31,1.39,-9.57,207.72
2010-01-09,0.31,1.64,-5.66,209.59
2010-01-10,0.3,0.17,-4.71,210.3
2010-01-11,0.31,4.87,-2.63,213.01
2010-01-12,0.32,2.02,-1.92,216.32
2010-01-13,0.34,3.91,-2.25,217.98
2010-01-14,0.34,2.73,-2.72,222.29
2010-01-15,0.34,9.77,-3.69,228.23
2010-01-16,0.35,0.03,-9.22,233
2010-01-17,0.35,1.18,-8.58,233.63
2010-01-18,0.35,2.78,-6.44,236.52
2010-01-19,0.36,0.12,-10.08,236.94
2010-01-20,0.36,0.01,-11.18,236.89
2010-01-21,0.36,0,-12.52,236.83
2010-01-22,0.36,0,-11.82,236.79
2010-01-23,0.36,0,-12.5,236.78
2010-01-24,0.37,0.1,-13.92,236.79
2010-01-25,0.38,1.33,-9.31,237.96
2010-01-26,0.4,0.03,-7.54,238.29
2010-01-27,0.42,0.02,-11.78,238.24
2010-01-28,0.42,0.04,-8.45,238.25
2010-01-29,0.42,0.05,-4.86,238.34
2010-01-30,0.42,3.17,-4.93,239.51
2010-01-31,0.42,1.52,-3.36,242.66
2010-02-01,0.41,2.91,-4.52,245.06
2010-02-02,0.4,1.26,-4.99,246.49
2010-02-03,0.4,0.23,-5.47,247.06
2010-02-04,0.4,0.3,-6.29,247.31
2010-02-05,0.4,1.83,-7.79,248.02
2010-02-06,0.39,0.01,-5.17,249.05
2010-02-07,0.4,0.01,-6.43,249.1
2010-02-08,0.41,0.21,-7.51,249.23
2010-02-09,0.4,0.11,-7.16,249.33
2010-02-10,0.4,0.73,-6.85,249.61
2010-02-11,0.41,1.65,-6.76,250.56
2010-02-12,0.41,0.81,-3.84,252.11
2010-02-13,0.41,0.05,-3.72,252.44
2010-02-14,0.42,2.94,-2.83,253.53
2010-02-15,0.42,0.1,-2.46,255.31
2010-02-16,0.43,9.78,-3.22,258.39
2010-02-17,0.43,0.25,-2.93,264.99
2010-02-18,0.42,0,-6.29,264.84
2010-02-19,0.35,0,-5.85,264.78
2010-02-20,0.33,0,-5.56,264.77
2010-02-21,0.33,0,-5.52,264.77
2010-02-22,0.32,0,-6.62,264.76
2010-02-23,0.31,0.12,-6.68,264.78
2010-02-24,0.32,1.24,-4.99,265.45
2010-02-25,0.33,0.85,-4.31,266.54
2010-02-26,0.34,1.82,-4.75,267.16
2010-02-27,0.39,5.1,-1.97,272.21
2010-02-28,0.41,0.03,-2.29,273.49
2010-03-01,0.38,0,-2.23,273.36
2010-03-02,0.37,0,-1.41,273.15
2010-03-03,0.38,0.81,-2.08,272.86
2010-03-04,0.4,4.35,-2.27,276.81
2010-03-05,0.41,0,-3.91,277.04
2010-03-06,0.4,0,-4.04,276.8
2010-03-07,0.42,1.03,-3.9,276.78
2010-03-08,0.42,1.11,-7.76,278.14
2010-03-09,0.36,0,-12.36,277.39
2010-03-10,0.36,0.05,-8.33,277.15
2010-03-11,0.36,3.26,-6.13,278.33
2010-03-12,0.42,9.97,-4.8,285.02
2010-03-13,0.42,0.89,-5.79,290.52
2010-03-14,0.44,0.05,-4.52,290.39
2010-03-15,0.45,0.25,-1,290.48
2010-03-16,0.46,1.96,0.45,290.87
2010-03-17,0.48,1.63,-3.56,291.97
2010-03-18,0.49,0.02,-4.88,292.15
2010-03-19,0.44,0,-3.12,291.67
2010-03-20,0.48,0,-1.18,291.36
2010-03-21,0.46,4.54,-1.51,292.51
2010-03-22,0.47,1.66,-3.3,295.57
2010-03-23,0.48,0.09,-1.62,296
2010-03-24,0.49,0,0.09,295.66
2010-03-25,0.53,0.29,0.31,295.23
2010-03-26,0.6,11.41,-1.89,303.52
2010-03-27,0.62,0.01,-1.01,305.8
2010-03-28,0.64,3.15,-1.28,306.49
2010-03-29,0.69,3.69,-2.84,309.9
2010-03-30,0.7,2.28,-4.38,310.92
2010-03-31,0.68,0.79,-3.96,312.41
2010-04-01,0.67,0.42,-4.14,312.49
2010-04-02,0.66,1.37,-5.41,312.73
2010-04-03,0.66,8.01,-4.36,318.01
2010-04-04,0.67,0.29,-4.05,320.93
2010-04-05,0.64,0.22,-3.27,320.56
2010-04-06,0.63,3.36,-3.09,321.78
2010-04-07,0.62,1.4,-3.32,323.69
2010-04-08,0.62,6.8,-5,329.28
2010-04-09,0.61,1.99,-6.39,331.13
2010-04-10,0.6,0,-4.37,331.55
2010-04-11,0.58,0.01,-2.56,331.02
2010-04-12,0.57,0,0.46,330.58
2010-04-13,0.58,0.1,1.03,330.15
2010-04-14,0.58,0,2.71,329.53
2010-04-15,0.59,0,4.2,328.25
2010-04-16,0.68,0,4.82,325.22
2010-04-17,0.83,1.55,3.01,320.62
2010-04-18,1.15,0.08,3.32,314.87
2010-04-19,1.3,0,5.75,306.94
2010-04-20,1.87,0,8.66,295.3
2010-04-21,2.6,0.27,4.98,281.43
2010-04-22,3.28,1.65,0.91,272.59
2010-04-23,3.33,0.42,-0.27,270.13
2010-04-24,3.17,5.16,-2.42,272.3
2010-04-25,2.91,0.25,-0.68,273.58
2010-04-26,2.81,0,1.32,272.79
2010-04-27,2.65,8.75,0.44,276.23
2010-04-28,2.6,1.99,1.19,278.43
2010-04-29,2.55,1.42,1.54,276.96
2010-04-30,2.6,1.08,1.39,275.5
2010-05-01,2.65,7.07,-0.15,279.16
2010-05-02,2.71,6.72,-1.38,280.55
2010-05-03,2.65,15.02,-1.97,294.51
2010-05-04,2.39,2.69,-2.55,299.21
2010-05-05,2.09,0.23,-1.64,299.68
2010-05-06,2.21,0.46,-0.5,299.17
2010-05-07,2.06,1.89,-0.73,299.19
2010-05-08,1.84,0.43,-0.46,299.83
2010-05-09,1.4,0.81,-0.1,299.44
2010-05-10,1.31,0.43,1.97,298.86
2010-05-11,1.34,0.35,3.03,296.95
2010-05-12,1.58,0,4.84,293.21
2010-05-13,2.07,0.2,5.16,286.27
2010-05-14,2.89,0.5,6.47,275.68
2010-05-15,4.29,0,7.76,262.47
2010-05-16,5.36,0.03,8.02,248.05
2010-05-17,9.21,4.84,8.04,230.46
2010-05-18,15.41,9.38,6.5,207.59
2010-05-19,13.69,0.42,5.43,191.53
2010-05-20,10.05,7.15,0.87,185.55
2010-05-21,6.56,1.18,0.57,184.78
2010-05-22,5.31,5.71,-0.53,186.09
2010-05-23,4.28,1.86,1.34,187.19
2010-05-24,3.84,1.15,2.86,185.28
2010-05-25,3.9,0,4.73,181.04
2010-05-26,4.35,0.57,6.49,172.66
2010-05-27,5.31,3.56,5.48,159.93
2010-05-28,5.93,5.86,3.27,150.5
2010-05-29,7.65,11.98,3.48,141.6
2010-05-30,9.06,8.03,3.77,131.12
2010-05-31,8.54,3.22,4.6,119.26
2010-06-01,9.42,4.58,5.67,105.17
2010-06-02,13.79,6.01,4.16,94.62
2010-06-03,14.11,7.22,3.71,86.24
2010-06-04,8.9,5.08,3.24,80.63
2010-06-05,7.44,6.59,3.66,74.05
2010-06-06,6.82,0.5,5.5,65.8
2010-06-07,7.76,11.32,4.71,57.72
2010-06-08,8.59,0.94,5.8,48.3
2010-06-09,8.64,11.16,4.19,40.31
2010-06-10,9.21,10.53,4.59,33.76
2010-06-11,9.26,3.28,7.41,25.63
2010-06-12,9.63,0,10.04,17.34
2010-06-13,10.2,3.09,9.43,10.61
2010-06-14,9.16,1.63,5.19,6.91
2010-06-15,6.77,4.04,3.83,5.46
2010-06-16,6.04,0.55,6.64,4.07
2010-06-17,5.88,0.08,9.15,2.57
2010-06-18,5.99,1.08,8.74,1.48
2010-06-19,6.25,0.19,10.75,0.78
2010-06-20,6.82,0.29,11.45,0.36
2010-06-21,7.96,1.41,10.67,0.15
2010-06-22,9.11,0.65,11.07,0.07
2010-06-23,8.9,0.87,11.43,0.03
2010-06-24,8.33,3.82,10.02,0.01
2010-06-25,7.6,8.94,8.53,0.01
2010-06-26,6.35,0.14,9.9,0
2010-06-27,6.04,0.7,10.55,0
2010-06-28,5.41,0.33,8.97,0
2010-06-29,4.78,0.11,8.86,0
2010-06-30,4.15,11.29,4.16,0.09
2010-07-01,3.49,0.15,5.27,0.08
2010-07-02,3.12,0.36,6.95,0.05
2010-07-03,3.1,0.15,9.2,0.02
2010-07-04,4.31,16.27,6.39,0.01
2010-07-05,4.02,0.26,6.17,0
2010-07-06,3.72,0,9.32,0
2010-07-07,3.77,0,13.28,0
2010-07-08,3.71,0,15.58,0
2010-07-09,3.67,0,16.58,0
2010-07-10,3.55,0.06,14.94,0
2010-07-11,3.31,4.75,14.46,0
2010-07-12,3.21,4.27,6.87,0
2010-07-13,2.59,2.72,4.97,0
2010-07-14,2.23,0.12,11.3,0
2010-07-15,2.13,0.28,12.93,0
2010-07-16,2.08,0.22,11.09,0
2010-07-17,1.96,0.14,12.06,0
2010-07-18,1.84,1.61,11.44,0
2010-07-19,1.75,0.05,10.52,0
2010-07-20,1.62,0.12,12.45,0
2010-07-21,1.54,0.09,13.96,0
2010-07-22,1.53,6.88,9.49,0
2010-07-23,1.47,0,11.46,0
2010-07-24,1.41,0.19,13.9,0
2010-07-25,1.33,0,13.88,0
2010-07-26,1.25,0,14.84,0
2010-07-27,1.21,0.03,16.58,0
2010-07-28,1.1,0,17.17,0
2010-07-29,1.01,0.01,15.71,0
2010-07-30,0.95,0.35,15.07,0
2010-07-31,0.89,0.06,15.34,0
2010-08-01,0.83,1.9,14.78,0
2010-08-02,0.81,0.27,13.99,0
2010-08-03,0.82,0,14.88,0
2010-08-04,0.75,0,15.19,0
2010-08-05,0.69,0.13,15.96,0
2010-08-06,0.67,0.39,14.01,0
2010-08-07,0.71,13.41,10.94,0
2010-08-08,0.74,10.62,10.77,0
2010-08-09,0.75,10.96,8.29,0
2010-08-10,0.81,1.05,10.24,0
2010-08-11,0.7,0,12.15,0
2010-08-12,0.62,0.1,11.43,0
2010-08-13,0.59,0,11.2,0
2010-08-14,0.55,0,13.51,0
2010-08-15,0.5,0,15.35,0
2010-08-16,0.47,0,16.9,0
2010-08-17,0.46,0.56,17.19,0
2010-08-18,0.44,0.01,16.55,0
2010-08-19,0.41,0.02,11.63,0
2010-08-20,0.4,0.18,9.43,0
2010-08-21,0.39,0.88,8.9,0
2010-08-22,0.42,6.32,6.64,0
2010-08-23,0.42,0.55,7.92,0
2010-08-24,0.39,0,11.91,0
2010-08-25,0.41,0.02,14.4,0
2010-08-26,0.47,13.76,9.25,0
2010-08-27,0.74,6.65,4.08,0
2010-08-28,0.61,0.82,4.91,0
2010-08-29,0.48,2.31,5.17,0
2010-08-30,0.45,2.14,5.73,0
2010-08-31,0.44,6.22,4.41,0
2010-09-01,0.53,4.72,6.3,0
2010-09-02,0.47,0,8.81,0
2010-09-03,0.42,0,11.64,0
2010-09-04,0.43,2.61,6.5,0
2010-09-05,0.41,1.15,3.92,0
2010-09-06,0.5,8.23,3.54,0
2010-09-07,0.65,2.75,5.31,0
2010-09-08,0.59,0.82,5,0
2010-09-09,0.54,0.41,6.1,0
2010-09-10,0.5,8.19,5.29,0
2010-09-11,0.73,7.1,5.33,0
2010-09-12,1.15,15.32,3.86,0
2010-09-13,1.32,4.58,5.84,0
2010-09-14,1.06,0.38,6.78,0
2010-09-15,0.91,1.8,7.5,0
2010-09-16,0.91,5.62,7.49,0
2010-09-17,0.83,0,6.04,0
2010-09-18,0.75,5.09,5.2,0
2010-09-19,1.04,13.54,6.68,0
2010-09-20,1.44,7.82,2.66,0.23
2010-09-21,1.39,0.2,2.25,0.41
2010-09-22,1.17,0,3.76,0.33
2010-09-23,1.06,1.49,2.51,0.25
2010-09-24,1.08,2.46,3.01,0.18
2010-09-25,1.12,0.26,7.66,0.09
2010-09-26,1.51,6.62,8.16,0.03
2010-09-27,1.43,0.07,10.52,0.01
2010-09-28,1.48,10.14,9.47,0
2010-09-29,1.34,0,7.86,0
2010-09-30,1.19,0,9.24,0
2010-10-01,1.08,0,9.97,0
2010-10-02,0.99,0,9.7,0
2010-10-03,0.91,0,7.82,0
2010-10-04,0.84,0.76,4.51,0
