DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,NA,2.07,4.55,0.05
2009-10-02,NA,8.72,2.81,0.93
2009-10-03,NA,0.61,3.47,0.92
2009-10-04,NA,0,4.97,0.67
2009-10-05,NA,0,5.05,0.5
2009-10-06,NA,0.12,6.72,0.34
2009-10-07,NA,0.77,4.37,0.22
2009-10-08,NA,0.33,2.98,0.16
2009-10-09,NA,0.04,-0.35,0.18
2009-10-10,NA,0,-0.42,0.17
2009-10-11,NA,0.06,-0.97,0.18
2009-10-12,NA,0.05,-1.29,0.22
2009-10-13,NA,1.4,0.06,0.71
2009-10-14,NA,3.46,2.23,2.19
2009-10-15,NA,1.11,4.04,1.56
2009-10-16,NA,0.78,5.5,0.85
2009-10-17,NA,27.97,5.55,0.44
2009-10-18,NA,6.85,5.72,0.25
2009-10-19,NA,0.57,4.93,0.14
2009-10-20,NA,0.22,3.77,0.1
2009-10-21,NA,7.14,3.55,0.07
2009-10-22,NA,0.09,4.44,0.05
2009-10-23,NA,12.35,3.32,0.15
2009-10-24,NA,0.4,2.2,0.2
2009-10-25,NA,5.58,0.63,1.29
2009-10-26,NA,13.45,-0.12,12.1
2009-10-27,NA,0.38,-2.09,15.44
2009-10-28,NA,0.13,-0.26,14.39
2009-10-29,NA,11.88,-0.91,20.38
2009-10-30,NA,2.37,2.96,22.19
2009-10-31,NA,1,2.8,14.09
2009-11-01,NA,0,0.81,11.69
2009-11-02,NA,2.59,0.39,11.74
2009-11-03,NA,0.02,0.67,11.86
2009-11-04,NA,0,0.51,10.96
2009-11-05,NA,2.68,1.08,9.69
2009-11-06,NA,1.87,0.27,8.47
2009-11-07,NA,4.77,-0.89,9.87
2009-11-08,NA,2.16,-1.31,12.01
2009-11-09,NA,3.2,-0.3,12.78
2009-11-10,NA,4.62,-0.93,15.21
2009-11-11,NA,3.97,-1.21,19.62
2009-11-12,NA,0.01,-1.83,19.28
2009-11-13,NA,4.05,-3.38,20.46
2009-11-14,NA,0.03,-3.37,22.2
2009-11-15,NA,1.78,-1.97,22.31
2009-11-16,NA,9.34,-0.12,26.4
2009-11-17,NA,6.78,0.14,33.61
2009-11-18,NA,2.91,-2.02,35.73
2009-11-19,NA,7.62,-0.3,40.85
2009-11-20,NA,5.01,0.67,44.62
2009-11-21,NA,2.4,-2.48,46.61
2009-11-22,NA,3.77,-1.48,50.32
2009-11-23,NA,2.14,-0.67,51.73
2009-11-24,NA,1.44,0.07,54.06
2009-11-25,NA,1.9,1.14,53.88
2009-11-26,NA,6.53,0.65,53.89
2009-11-27,NA,0.21,-1.99,53.58
2009-11-28,NA,2.58,-1.03,54.78
2009-11-29,NA,0.03,0.5,55.49
2009-11-30,NA,4.66,-1.08,56.6
2009-12-01,NA,0.01,-4.02,58.07
2009-12-02,NA,0,-6.36,57.95
2009-12-03,NA,0,-5.81,57.88
2009-12-04,NA,1.08,-5.24,58.38
2009-12-05,NA,0.05,-8.04,58.54
2009-12-06,NA,0,-12.07,58.29
2009-12-07,NA,0,-13.3,58.15
2009-12-08,NA,0.07,-14.06,58.08
2009-12-09,NA,0.37,-11.87,58.32
2009-12-10,NA,0.32,-9.92,58.53
2009-12-11,NA,0.6,-8.37,58.75
2009-12-12,NA,0.82,-8.16,59.6
2009-12-13,NA,0.77,-12.7,60.17
2009-12-14,NA,0.58,-16.79,60.38
2009-12-15,NA,4.37,-10.22,63.07
2009-12-16,NA,3.12,-5.66,66.4
2009-12-17,NA,0.49,-3.16,68.59
2009-12-18,NA,1.47,-2.91,69.29
2009-12-19,NA,2.16,-1.28,71.73
2009-12-20,NA,8.17,-2.2,77.22
2009-12-21,NA,8.54,-1.89,84.83
2009-12-22,NA,0.16,-11.49,88.94
2009-12-23,NA,0.03,-15.69,88.83
2009-12-24,NA,0.03,-13.98,88.87
2009-12-25,NA,0.07,-10.17,88.96
2009-12-26,NA,0.03,-9.76,89.01
2009-12-27,NA,0.02,-11.33,89.04
2009-12-28,NA,0.04,-11.17,89.07
2009-12-29,NA,0.23,-9.47,89.22
