DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,0.12,1.49,2.04,1.33
2009-10-02,0.14,7.74,0.77,2.99
2009-10-03,0.17,1.5,0.36,4.22
2009-10-04,0.17,0,2.39,3.8
2009-10-05,0.16,0,3.89,3.05
2009-10-06,0.15,0,3.98,2.15
2009-10-07,0.14,0,3.14,1.45
2009-10-08,0.14,0,2.47,1.17
2009-10-09,0.13,0,-1.56,1.04
2009-10-10,0.13,0,-2.38,0.99
2009-10-11,0.13,0,-2.86,0.94
2009-10-12,0.14,0.35,-2.53,0.92
2009-10-13,0.14,2.27,-0.68,1.95
2009-10-14,0.13,6.65,1.96,4.21
2009-10-15,0.13,0.3,3.4,3.36
2009-10-16,0.16,7.32,5.11,2.02
2009-10-17,1.05,32.65,5.22,0.86
2009-10-18,2.56,1.6,4.57,0.4
2009-10-19,1.16,0.54,4.25,0.24
2009-10-20,0.8,0.91,3.33,0.17
2009-10-21,0.61,4.57,2.36,0.13
2009-10-22,0.57,0.93,2.47,0.1
2009-10-23,0.54,6.9,2.28,1.63
2009-10-24,0.63,4.78,0.06,4.78
2009-10-25,0.58,6.76,-0.6,6.06
2009-10-26,0.57,13.64,-0.7,20.44
2009-10-27,0.65,1.69,-3.42,24.04
2009-10-28,0.54,1.34,-3.09,24.25
2009-10-29,0.5,7.5,-1.41,30.43
2009-10-30,0.93,13.74,3.46,27.41
2009-10-31,4.86,6,0.87,17.6
2009-11-01,2.46,0.3,-1.81,17.16
2009-11-02,1.5,0.72,-0.73,16.6
2009-11-03,1.19,0.05,0.06,15.9
2009-11-04,1,0,0.23,14.45
2009-11-05,1.01,19.04,1.08,12.6
2009-11-06,2.45,14.06,-2.41,25.23
2009-11-07,1.67,11,-4.31,36.46
2009-11-08,1.34,0.69,-4.33,40.94
2009-11-09,1.15,7.54,-2.39,43.19
2009-11-10,1.08,13.14,-2.48,53.02
2009-11-11,1.01,4.92,-4.78,64.73
2009-11-12,0.87,0.03,-5.35,65.23
2009-11-13,0.87,4.8,-5.61,67.82
2009-11-14,0.67,0.46,-6.55,69.92
2009-11-15,0.81,17.27,-1.81,76.92
2009-11-16,2.6,47.45,-0.1,107.3
2009-11-17,4.7,27.92,-2.25,148.96
2009-11-18,2.92,8.98,-5.72,160.56
2009-11-19,2.15,27.35,-2.17,180.79
2009-11-20,2,14.77,-0.83,202.41
2009-11-21,1.82,5.48,-4.7,209.56
2009-11-22,1.48,5.2,-3.59,216.14
2009-11-23,1.33,4.09,-2.76,219.59
2009-11-24,1.23,2.34,-1.13,223.03
2009-11-25,1.58,11.43,1.66,225.11
2009-11-26,3.47,8.05,-0.13,225.53
2009-11-27,2.87,0.13,-4.14,225.43
2009-11-28,2.22,4.58,-3.13,227.87
2009-11-29,1.94,5.16,-0.12,232.09
2009-11-30,1.88,13.35,-1.34,241.61
2009-12-01,1.56,0,-8.19,246.57
2009-12-02,1.5,0,-9.43,246.42
2009-12-03,1.42,0,-9.28,246.43
2009-12-04,1.37,0.46,-9.09,246.59
2009-12-05,1.28,0.23,-10.22,246.84
2009-12-06,0.98,0.07,-13.58,246.61
2009-12-07,0.87,0,-17.79,246.29
2009-12-08,0.76,0.01,-17.36,246.25
2009-12-09,0.78,0.02,-15.9,246.29
2009-12-10,0.79,0.03,-14.24,246.32
2009-12-11,0.79,0.24,-11.57,246.44
2009-12-12,0.8,0.54,-9.5,246.86
2009-12-13,0.79,2.2,-12.52,247.98
2009-12-14,0.74,2.29,-15.58,249.38
2009-12-15,0.67,9.37,-7.33,255.65
2009-12-16,0.66,14.25,-5.27,267.02
2009-12-17,0.63,1.58,-3.34,276.09
2009-12-18,0.66,2.78,-1.46,277.78
2009-12-19,0.66,2.59,-0.87,280.47
2009-12-20,0.63,13.79,-0.49,288.86
2009-12-21,0.6,8.23,-1.63,299.62
