DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,7.3,6.37,-2.7,4203.04
2009-10-02,6.34,0.83,-4.54,4205.2
2009-10-03,5.44,1.75,-4.8,4205.53
2009-10-04,4.54,0.03,-3.76,4205.78
2009-10-05,3.99,0.01,-3.85,4204.87
2009-10-06,3.7,0.01,0.1,4203.29
2009-10-07,3.45,0.09,-3.44,4202.19
2009-10-08,3.24,0.26,-4.92,4201.61
2009-10-09,3.07,0.23,-5.11,4201.36
2009-10-10,2.87,0.01,-8.48,4201.31
2009-10-11,2.73,0,-12.05,4201.21
2009-10-12,2.48,1,-10.58,4201.29
2009-10-13,2.33,4.09,-6.64,4203.01
2009-10-14,2.19,5.19,-3.38,4204.56
2009-10-15,2.06,0.96,-1.28,4205.88
2009-10-16,2.32,21.29,0.06,4208.56
2009-10-17,3.01,14.11,0.35,4210.5
2009-10-18,3.35,0.29,-0.64,4212.99
2009-10-19,3.36,0.02,-3.46,4212.38
2009-10-20,3.14,0.85,-4.46,4212.1
2009-10-21,2.93,9.84,-1.96,4215.94
2009-10-22,2.69,2.66,-2.65,4217.92
2009-10-23,2.51,5.37,-2.05,4221.05
2009-10-24,2.27,0.04,-6.22,4221.86
2009-10-25,2.09,14.87,-7.91,4224.89
2009-10-26,1.97,7.9,-5.89,4233.5
2009-10-27,1.92,0.07,-10.04,4234.44
2009-10-28,1.86,5.91,-12.51,4235.01
2009-10-29,2.21,15.82,-6.77,4243.23
2009-10-30,2.75,38.4,-1.72,4252.84
2009-10-31,3.59,7.26,-4.59,4271.23
2009-11-01,3.35,0.77,-6.44,4272.16
2009-11-02,3.11,6.25,-5.67,4274.33
2009-11-03,2.93,0.05,-7.15,4275.65
2009-11-04,2.79,0.76,-5.07,4275.68
2009-11-05,2.87,49.01,-4.36,4287.57
2009-11-06,2.99,11.42,-7.78,4307.41
2009-11-07,2.75,5.26,-8.98,4312.45
2009-11-08,2.51,4.36,-9.08,4314.09
2009-11-09,2.27,33.86,-7.2,4327.52
2009-11-10,2.09,8.8,-8.95,4337.23
2009-11-11,1.92,0.5,-10.46,4339.88
2009-11-12,1.8,0.38,-13.72,4339.96
2009-11-13,1.71,10.84,-11.47,4344.31
2009-11-14,1.62,3.28,-14.94,4346.56
2009-11-15,1.53,59.92,-8.88,4361.82
2009-11-16,1.44,61.01,-5.97,4404.46
2009-11-17,1.41,18.69,-9.16,4425.21
2009-11-18,1.38,29.98,-11.32,4431.6
2009-11-19,1.35,34.06,-9.35,4451.76
2009-11-20,1.35,24.62,-7.12,4475.09
2009-11-21,1.32,6.84,-11.29,4478.8
2009-11-22,1.29,2.89,-8.46,4482.81
