DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,1.19,0.34,-1.63,1.56
2009-10-02,1.06,6.48,-1.74,3.34
2009-10-03,0.98,4.22,-3.2,10.61
2009-10-04,0.92,0.34,-4.77,11.4
2009-10-05,0.85,0.01,-4.16,11.08
2009-10-06,0.79,4.19,-2.35,11.52
2009-10-07,0.76,0.27,-5.64,14.07
2009-10-08,0.73,2.24,-11.76,14.72
2009-10-09,0.69,0.04,-17.76,15.81
2009-10-10,0.66,0.02,-17.31,15.64
2009-10-11,0.63,0.04,-16.46,15.48
2009-10-12,0.61,0.17,-14.69,15.36
2009-10-13,0.6,0.73,-11.25,15.45
2009-10-14,0.59,2.25,-4.94,17.19
2009-10-15,0.59,0.87,-1.67,18.1
2009-10-16,0.59,0.24,-3.36,17.78
2009-10-17,0.59,16.08,0.55,19.92
2009-10-18,0.73,7.75,0.42,27.14
2009-10-19,0.8,0.19,-1.37,27.4
2009-10-20,0.77,0.16,-4.81,27.14
2009-10-21,0.74,1.93,-5.14,27.45
2009-10-22,0.7,1.73,-2.08,29.92
2009-10-23,0.68,5.99,-3,32.05
2009-10-24,0.67,2.24,-5.06,37.27
2009-10-25,0.65,2.5,-9.18,38.09
2009-10-26,0.64,10.85,-5.91,44.75
2009-10-27,0.63,2.57,-6.9,53.07
2009-10-28,0.61,0.37,-10.87,53.55
2009-10-29,0.6,8.94,-11.67,56.63
2009-10-30,0.59,6.14,-5.5,65.95
2009-10-31,0.58,7.62,-3.4,72.45
2009-11-01,0.58,0.88,-7.99,76.62
2009-11-02,0.58,0.9,-10.79,77.15
2009-11-03,0.57,1.04,-8.13,78.51
2009-11-04,0.56,0.01,-10.17,78.85
2009-11-05,0.55,2.34,-5.7,79.23
2009-11-06,0.54,11.5,-5.57,88.62
2009-11-07,0.54,8.51,-9.76,96.61
2009-11-08,0.53,1.19,-10.76,101.96
2009-11-09,0.53,1.29,-10.92,102.76
2009-11-10,0.52,5.31,-8.37,107.21
2009-11-11,0.52,3.29,-10.04,111.2
2009-11-12,0.51,0.72,-12.41,112.87
2009-11-13,0.51,0.34,-15.51,113.29
2009-11-14,0.49,0.5,-14.97,113.86
2009-11-15,0.49,1.46,-13.2,114.65
2009-11-16,0.48,10.44,-6.76,119.41
2009-11-17,0.48,13.98,-4.05,135.49
2009-11-18,0.48,4.76,-9.58,143.38
2009-11-19,0.48,9.82,-9.64,149.78
2009-11-20,0.48,3.31,-5.73,156.86
2009-11-21,0.48,4.76,-8.63,161.35
