DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,NA,0.82,3.22,0.65
2009-10-02,NA,3.95,1.52,1.32
2009-10-03,NA,1.62,1.18,1.81
2009-10-04,NA,0,2.47,1.73
2009-10-05,NA,0,4,1.39
2009-10-06,NA,0,4.44,1.01
2009-10-07,NA,0,3.64,0.73
2009-10-08,NA,0,3.19,0.61
2009-10-09,NA,0,-0.81,0.54
2009-10-10,NA,0,-0.98,0.51
2009-10-11,NA,0,-1.5,0.48
2009-10-12,NA,0.63,-2.32,0.54
2009-10-13,NA,1.13,-0.45,1.42
2009-10-14,NA,7.01,2.52,3.2
2009-10-15,NA,0.11,3.22,3.31
2009-10-16,NA,7.64,5.7,2.08
2009-10-17,NA,25.54,6.06,0.9
2009-10-18,NA,1.28,4.19,0.49
2009-10-19,NA,0.53,4.18,0.34
2009-10-20,NA,0.09,4.11,0.26
2009-10-21,NA,3.66,3.26,0.28
2009-10-22,NA,0.14,2.56,0.29
2009-10-23,NA,8.44,3.21,2.29
2009-10-24,NA,0.6,0.6,2.55
2009-10-25,NA,4.55,0.01,3.1
2009-10-26,NA,13.4,-0.06,11.12
2009-10-27,NA,1.05,-3.3,13.2
2009-10-28,NA,0.58,-2.63,13.01
2009-10-29,NA,6.73,-0.12,17.76
2009-10-30,NA,7.5,4.64,11.92
2009-10-31,NA,2.45,1.65,7
2009-11-01,NA,0.09,-1.29,6.64
2009-11-02,NA,0.29,-0.39,6.33
2009-11-03,NA,0.06,-0.29,6.08
2009-11-04,NA,0,0.49,5.58
2009-11-05,NA,6.71,2.16,5.14
2009-11-06,NA,9.66,-1.11,11.98
2009-11-07,NA,9.82,-3.58,20.42
2009-11-08,NA,0.24,-4.03,23.51
2009-11-09,NA,1.86,-1.11,23.64
2009-11-10,NA,3.96,-2.23,25.66
2009-11-11,NA,3.36,-3.52,30.61
2009-11-12,NA,0,-4.92,30.39
2009-11-13,NA,2.59,-5.98,31.11
2009-11-14,NA,0.06,-7.14,32.02
2009-11-15,NA,5.58,-1.9,33.73
2009-11-16,NA,21.22,-0.21,45.73
2009-11-17,NA,13.26,-1.2,66.62
2009-11-18,NA,2.8,-5.62,70.59
2009-11-19,NA,15.3,-1.35,81.78
2009-11-20,NA,8.07,-0.11,92.15
2009-11-21,NA,2.43,-4.26,96.56
2009-11-22,NA,4.45,-2.72,100.3
2009-11-23,NA,2.12,-2.25,102.48
2009-11-24,NA,1.67,0.35,104.78
2009-11-25,NA,4.6,2.22,103.44
2009-11-26,NA,8.3,0.89,100.62
2009-11-27,NA,0.11,-4.01,99.68
2009-11-28,NA,2.09,-2.85,100.63
2009-11-29,NA,1.18,0.75,101.98
2009-11-30,NA,6.22,-0.19,102.58
2009-12-01,NA,0.01,-5.63,104.46
2009-12-02,NA,0,-5.57,104.39
2009-12-03,NA,0,-6.73,104.37
2009-12-04,NA,1.04,-7.14,104.68
2009-12-05,NA,1.39,-8.82,105.56
2009-12-06,NA,0.13,-12.26,106.22
2009-12-07,NA,0.01,-15.33,105.99
2009-12-08,NA,0.01,-16.38,105.93
2009-12-09,NA,0.12,-15.65,106.03
2009-12-10,NA,0,-14.32,106.04
2009-12-11,NA,0.12,-11.66,106.05
2009-12-12,NA,0.64,-9.48,106.36
2009-12-13,NA,2.93,-11.65,107.82
2009-12-14,NA,2.38,-12.88,109.95
2009-12-15,NA,7.23,-5.7,115.46
2009-12-16,NA,8.97,-3.82,122.24
2009-12-17,NA,1.69,-3.26,129.44
2009-12-18,NA,0.93,-1.39,129.92
2009-12-19,NA,2.51,0.31,131.74
2009-12-20,NA,5.13,0.15,135.9
2009-12-21,NA,3.45,-0.87,137.79
2009-12-22,NA,0.89,-6.69,140.22
2009-12-23,NA,0.01,-8.94,140.13
2009-12-24,NA,0,-7.07,140.13
2009-12-25,NA,0,-7.72,140.12
2009-12-26,NA,0,-9.74,140.1
2009-12-27,NA,0,-10.52,140.08
2009-12-28,NA,0.53,-9.04,140.19
2009-12-29,NA,0.28,-5.99,140.82
2009-12-30,NA,3.23,-6.19,142.07
2009-12-31,NA,3.11,-5.23,144.99
2010-01-01,NA,11.81,-2.28,150.21
2010-01-02,NA,2.56,-1.58,160.67
2010-01-03,NA,1.16,-3.07,161.5
2010-01-04,NA,12.15,-2.53,168.73
2010-01-05,NA,2.93,-4.7,176.93
2010-01-06,NA,0,-9.68,177.14
2010-01-07,NA,0.01,-9.45,177.12
2010-01-08,NA,2.97,-4.48,177.53
2010-01-09,NA,1.72,-0.78,181.54
