DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,0.01,2.37,4.92,0.83
2009-10-02,0.02,9.54,2.54,4.21
2009-10-03,0.04,1.24,2.29,4.18
2009-10-04,0.04,0,3.55,3.14
2009-10-05,0.04,0,5.06,2.36
2009-10-06,0.03,0,6.72,1.6
2009-10-07,0.03,1.19,4.1,1.06
2009-10-08,0.03,0.16,3.37,0.88
2009-10-09,0.03,0.04,-0.17,0.88
2009-10-10,0.04,0,-0.71,0.82
2009-10-11,0.04,0.05,-1.39,0.77
2009-10-12,0.04,0.05,-2.09,0.75
2009-10-13,0.04,2.49,-0.03,1.36
2009-10-14,0.04,6.14,1.79,5.48
2009-10-15,0.04,0.12,3.86,5.02
2009-10-16,0.04,2.77,4.55,3.06
2009-10-17,0.07,17.92,6.51,1.32
2009-10-18,0.11,2.72,6.2,0.56
2009-10-19,0.1,0.69,4.92,0.31
2009-10-20,0.07,0.06,3.98,0.2
2009-10-21,0.07,6.57,3.73,0.14
2009-10-22,0.11,0.07,4.29,0.12
2009-10-23,0.13,9.98,2.59,2.51
2009-10-24,0.16,3.47,1.4,7.06
2009-10-25,0.13,4.03,-0.37,7.14
2009-10-26,0.12,12.34,-0.48,16.83
2009-10-27,0.11,0.89,-2.56,21.16
2009-10-28,0.1,0.1,-0.99,20.49
2009-10-29,0.09,8.67,-1.83,24.56
2009-10-30,0.08,1.73,1.46,27.15
2009-10-31,0.09,3.91,3.09,19.91
2009-11-01,0.11,0,0.53,16.66
2009-11-02,0.11,0.2,-1.11,15.64
2009-11-03,0.11,0.03,-0.38,14.66
2009-11-04,0.09,0,-1.2,13.65
2009-11-05,0.1,3.81,0.67,12.68
2009-11-06,0.09,14.01,0.01,20.08
2009-11-07,0.08,9.54,-1.93,27.42
2009-11-08,0.07,1.51,-2.65,33.23
2009-11-09,0.08,2.16,0.14,33.62
2009-11-10,0.07,3.63,0.19,36.12
2009-11-11,0.07,4.19,-1.74,40.47
2009-11-12,0.07,0,-3.97,40.88
2009-11-13,0.07,3.89,-4.6,42.25
2009-11-14,0.07,0.07,-5.03,44.22
2009-11-15,0.07,1.36,-4.31,44.44
2009-11-16,0.07,9.21,-1.17,48.2
2009-11-17,0.07,8.15,0.19,58.61
2009-11-18,0.07,1.42,-3,61.54
2009-11-19,0.07,7.02,-0.84,66.3
2009-11-20,0.07,6.48,0.88,70.79
