DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,NA,2.61,1.51,5
2009-10-02,NA,0.76,0.52,4.9
2009-10-03,NA,0.19,1.1,4.8
2009-10-04,NA,0.54,2.58,4.37
2009-10-05,NA,19.67,0.83,11.17
2009-10-06,NA,1.59,1.28,18.4
2009-10-07,NA,0.18,0.96,17.24
2009-10-08,NA,4.13,-0.22,18.74
2009-10-09,NA,1.93,-1.2,22.07
2009-10-10,NA,0,-0.67,21.93
2009-10-11,NA,0,0.31,20.93
2009-10-12,NA,0,-2.93,19.99
2009-10-13,NA,0,-7.22,19.42
2009-10-14,NA,0,-6.25,18.94
2009-10-15,NA,0,-3.18,18.37
2009-10-16,NA,3.17,-1.26,19.62
2009-10-17,NA,0.15,0.04,20.18
2009-10-18,NA,3.09,0.26,20.19
2009-10-19,NA,1.77,-0.19,21.41
2009-10-20,NA,0.11,-0.7,21.71
2009-10-21,NA,3.36,-0.46,22.73
2009-10-22,NA,2.13,0.09,23.58
2009-10-23,NA,1.09,0.43,23.17
2009-10-24,NA,0.67,-1.32,22.39
2009-10-25,NA,5.53,-0.63,25.06
2009-10-26,NA,0.5,-0.33,28.02
2009-10-27,NA,0.15,-2.59,27.96
2009-10-28,NA,0.22,-2.5,27.89
2009-10-29,NA,5.54,-3.53,30.22
2009-10-30,NA,6.17,-4.5,35.23
2009-10-31,NA,6.09,-5.96,43.27
2009-11-01,NA,0.32,-5.47,44.6
2009-11-02,NA,2.33,-5.72,46.32
2009-11-03,NA,0.11,-5.58,47.01
2009-11-04,NA,1.28,-5.9,47.47
2009-11-05,NA,2.07,-5.42,49.47
2009-11-06,NA,0.19,-4.36,50.43
2009-11-07,NA,2.15,-4.53,52
2009-11-08,NA,0.02,-5.74,52.68
2009-11-09,NA,0.68,-7.37,52.84
2009-11-10,NA,1.26,-6.3,53.89
2009-11-11,NA,0.63,-8.05,55.09
2009-11-12,NA,4.54,-3.75,57.69
2009-11-13,NA,1.6,-9.97,60.11
2009-11-14,NA,11.1,-4.2,68.49
2009-11-15,NA,0.25,-9.17,71.84
2009-11-16,NA,1.15,-11.48,72.25
2009-11-17,NA,0.56,-11.11,73.37
2009-11-18,NA,0.6,-12.72,73.9
2009-11-19,NA,0.24,-13.94,74.31
2009-11-20,NA,0.87,-14.12,75
2009-11-21,NA,0.39,-13.63,75.38
2009-11-22,NA,0.25,-13.37,75.87
2009-11-23,NA,1.38,-13.48,76.63
2009-11-24,NA,0.64,-11.14,77.4
2009-11-25,NA,2.61,-12.35,79.8
2009-11-26,NA,0.5,-7.54,81.05
2009-11-27,NA,0.14,-11.77,81.21
2009-11-28,NA,1.33,-12.86,81.69
2009-11-29,NA,1.09,-9.92,83.26
2009-11-30,NA,0.02,-12.77,83.74
2009-12-01,NA,0.16,-10.99,83.8
2009-12-02,NA,6.9,-6.43,87.22
2009-12-03,NA,0.19,-10.28,91.02
2009-12-04,NA,0.27,-13.26,91.19
2009-12-05,NA,0.1,-19.15,91.37
2009-12-06,NA,0.04,-19.65,91.43
2009-12-07,NA,0.02,-13.71,91.46
2009-12-08,NA,0.1,-15.43,91.52
2009-12-09,NA,0.09,-14.17,91.62
2009-12-10,NA,0.07,-15.71,91.71
2009-12-11,NA,0.03,-17.76,91.75
2009-12-12,NA,0.73,-19.53,91.96
2009-12-13,NA,0.46,-23.1,92.71
2009-12-14,NA,0.3,-22.63,93.21
2009-12-15,NA,0.03,-23.75,93.3
2009-12-16,NA,0.13,-21.19,93.39
2009-12-17,NA,1.73,-14.58,93.9
2009-12-18,NA,1.15,-11.81,95.89
2009-12-19,NA,0.11,-19.33,96.32
2009-12-20,NA,0.2,-23.89,96.43
2009-12-21,NA,0.09,-27.87,96.58
2009-12-22,NA,0.01,-28.46,96.62
2009-12-23,NA,0.52,-20.63,96.9
2009-12-24,NA,2.16,-14.54,97.63
2009-12-25,NA,2.66,-8.05,100.51
2009-12-26,NA,1.13,-6.6,102.81
2009-12-27,NA,0.25,-8.01,103.24
2009-12-28,NA,0.57,-10.57,103.7
2009-12-29,NA,1.02,-12.99,104.3
2009-12-30,NA,0.1,-23.13,104.98
2009-12-31,NA,0.04,-33.18,104.98
2010-01-01,NA,0.02,-34.59,105.01
2010-01-02,NA,0.04,-35.08,105.03
2010-01-03,NA,0.08,-31.29,105.09
2010-01-04,NA,0.08,-29.87,105.17
2010-01-05,NA,0.03,-27.63,105.23
2010-01-06,NA,0.1,-21.49,105.26
2010-01-07,NA,3.38,-13.08,106.75
2010-01-08,NA,3.22,-9.02,111.44
2010-01-09,NA,2.43,-10,112.74
2010-01-10,NA,11.31,-12.41,118.45
2010-01-11,NA,8.41,-21.53,130.99
2010-01-12,NA,1.99,-21.75,135.37
2010-01-13,NA,1.74,-18.43,136.72
2010-01-14,NA,0.31,-13.7,137.69
2010-01-15,NA,0.57,-12.99,138.29
2010-01-16,NA,4.59,-11.05,140.37
2010-01-17,NA,1.96,-7.11,144.47
2010-01-18,NA,1.17,-10.22,145.28
2010-01-19,NA,0.38,-12.75,146.25
2010-01-20,NA,1.14,-14.2,147.23
2010-01-21,NA,0,-16.73,147.71
2010-01-22,NA,0.02,-17.19,147.72
2010-01-23,NA,0.01,-20.6,147.74
2010-01-24,NA,0.01,-23.72,147.76
2010-01-25,NA,0,-25.62,147.77
2010-01-26,NA,0.01,-25.4,147.78
2010-01-27,NA,0.42,-20.02,147.89
2010-01-28,NA,0.84,-15.74,148.96
2010-01-29,NA,0.81,-18.29,149.18
2010-01-30,NA,0.75,-14.43,150.31
2010-01-31,NA,0.39,-12.14,150.84
2010-02-01,NA,1.33,-10.6,151.46
2010-02-02,NA,0.4,-10.35,152.6
2010-02-03,NA,1.54,-14.49,153.46
2010-02-04,NA,0.65,-14.21,154.72
2010-02-05,NA,0.5,-14.26,155.21
2010-02-06,NA,0.75,-13.05,155.81
2010-02-07,NA,0.58,-8.4,156.77
2010-02-08,NA,0.01,-8.84,156.85
2010-02-09,NA,0.06,-13.62,156.89
2010-02-10,NA,0.06,-13.52,157.01
2010-02-11,NA,0.17,-15.33,157.11
2010-02-12,NA,0.05,-14.61,157.24
2010-02-13,NA,0.34,-13.01,157.49
2010-02-14,NA,1.82,-8.44,159.02
2010-02-15,NA,0.02,-7.76,159.58
2010-02-16,NA,0.23,-8.91,159.71
2010-02-17,NA,0.3,-6.95,160
2010-02-18,NA,0,-7.24,160.2
2010-02-19,NA,0,-9.18,160.22
2010-02-20,NA,0,-8.69,160.23
2010-02-21,NA,0,-9.93,160.22
2010-02-22,NA,0,-11.72,160.2
2010-02-23,NA,0.32,-11.54,160.32
2010-02-24,NA,0.83,-8.4,160.99
2010-02-25,NA,0.12,-7.8,161.52
2010-02-26,NA,0.01,-7.19,161.6
2010-02-27,NA,0.02,-8.42,161.62
2010-02-28,NA,1.07,-5.74,161.99
2010-03-01,NA,1.67,-2.56,163.7
