DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,1.6,2.4,0.53,8.8
2009-10-02,1.56,0.74,-0.11,8.36
2009-10-03,1.53,0.06,-0.15,7.92
2009-10-04,1.47,0.2,1.1,7.32
2009-10-05,1.48,26.57,0.31,17.56
2009-10-06,1.57,3.24,-0.41,31.12
2009-10-07,1.69,0.01,-1.91,30.84
2009-10-08,1.72,1.02,-3.3,30.69
2009-10-09,1.68,1.01,-4.3,31.93
2009-10-10,1.6,0,-3.99,31.83
2009-10-11,1.5,0,-2.82,31.41
2009-10-12,1.42,0,-6.74,31
2009-10-13,1.27,0,-10.97,30.76
2009-10-14,1.12,0,-10.08,30.54
2009-10-15,1.03,0,-6.88,30.32
2009-10-16,1,2.67,-4.4,31.49
2009-10-17,1.02,0.18,-1.73,32.6
2009-10-18,1.07,4.52,-1.35,34.57
2009-10-19,1.1,0.98,-1.24,37.08
2009-10-20,1.11,0.06,-2.24,37.25
2009-10-21,1.1,2.62,-1.94,37.99
2009-10-22,1.08,2.27,-0.97,40
2009-10-23,1.07,2.87,-0.72,42.46
2009-10-24,1.05,1.11,-3.64,42.55
2009-10-25,1.04,5.67,-2.69,45.97
2009-10-26,1.02,0.74,-2.46,49.59
2009-10-27,1,0.72,-4.5,49.92
2009-10-28,0.97,0.81,-4.71,50.7
2009-10-29,0.95,4.89,-5.56,53.18
2009-10-30,0.91,6.19,-6.8,57.88
2009-10-31,0.86,6.7,-8.57,66.47
2009-11-01,0.81,0.4,-10.29,68.1
2009-11-02,0.76,3.22,-10.1,70.03
2009-11-03,0.72,1,-8.4,72.19
2009-11-04,0.71,1.97,-9.35,73.12
2009-11-05,0.7,1.03,-7.72,75.09
2009-11-06,0.7,0.18,-6.81,75.6
2009-11-07,0.69,2.63,-6.39,77.33
2009-11-08,0.68,0,-7.58,78.41
2009-11-09,0.65,0.13,-9.93,78.48
2009-11-10,0.61,0.95,-8.73,79.29
2009-11-11,0.6,1.44,-8.05,80.37
2009-11-12,0.61,2.45,-5.45,82.2
2009-11-13,0.61,1.41,-10.53,84.1
2009-11-14,0.61,4.31,-6.26,86.99
2009-11-15,0.61,0.49,-10.7,89.14
2009-11-16,0.59,0.27,-15.3,89.32
2009-11-17,0.56,0.61,-14.95,89.94
2009-11-18,0.53,0.31,-15.83,90.34
2009-11-19,0.51,0.18,-15.54,90.54
2009-11-20,0.5,0.3,-17.03,90.85
2009-11-21,0.48,0.21,-16.6,90.99
2009-11-22,0.48,0.12,-15.88,91.25
2009-11-23,0.48,1.89,-14.27,92.15
2009-11-24,0.48,0.45,-13.13,93.26
2009-11-25,0.48,1.86,-14.27,94.98
2009-11-26,0.48,0.63,-8.2,96.13
2009-11-27,0.48,0.19,-12.22,96.42
2009-11-28,0.48,0.9,-16.11,96.75
2009-11-29,0.48,0.25,-11.11,97.6
2009-11-30,0.48,0.04,-15.01,97.78
2009-12-01,0.47,0.13,-13.92,97.94
2009-12-02,0.47,1.25,-9.82,98.43
2009-12-03,0.46,0.8,-9.92,99.99
2009-12-04,0.45,0.19,-13.1,100.18
2009-12-05,0.45,0.06,-19.86,100.33
2009-12-06,0.44,0.01,-20.57,100.35
2009-12-07,0.42,0.03,-16.72,100.38
2009-12-08,0.42,0.15,-17.74,100.46
2009-12-09,0.41,0.19,-15.88,100.65
2009-12-10,0.4,0.11,-16.01,100.81
2009-12-11,0.39,0.07,-21.72,100.88
2009-12-12,0.39,0.29,-23.46,101.04
2009-12-13,0.38,0.04,-29.99,101.24
2009-12-14,0.37,0.34,-26.35,101.48
2009-12-15,0.36,0.01,-27.24,101.6
2009-12-16,0.35,0.26,-23.02,101.77
2009-12-17,0.34,1.14,-18.37,102.1
2009-12-18,0.33,1.47,-12.54,103.81
2009-12-19,0.33,0.22,-19.99,104.67
2009-12-20,0.32,0.08,-27.59,104.74
2009-12-21,0.31,0.01,-28.47,104.79
2009-12-22,0.3,0,-31.32,104.79
2009-12-23,0.29,0.71,-21.08,105.08
2009-12-24,0.29,2.71,-12.6,106.16
2009-12-25,0.28,3.22,-8.42,110.14
2009-12-26,0.27,0.65,-7.33,111.98
2009-12-27,0.27,0,-13.11,112.11
2009-12-28,0.26,1,-12.61,112.59
2009-12-29,0.26,1.23,-12.79,113.7
2009-12-30,0.26,0.01,-27.13,114.24
2009-12-31,0.26,0.01,-34.96,114.24
2010-01-01,0.26,0,-36.84,114.25
2010-01-02,0.26,0,-35.56,114.25
2010-01-03,0.26,0.04,-29.64,114.28
2010-01-04,0.25,0.1,-24.46,114.36
2010-01-05,0.25,0.02,-24.69,114.42
2010-01-06,0.24,0.18,-20.08,114.46
2010-01-07,0.23,2.94,-11.82,115.73
2010-01-08,0.23,5.85,-6.99,122.31
2010-01-09,0.23,3.47,-11.09,124.38
2010-01-10,0.23,10.29,-12.46,130.41
2010-01-11,0.23,6.5,-21.12,141.78
2010-01-12,0.23,2.11,-19.97,144.92
2010-01-13,0.23,2.79,-14.3,146.57
2010-01-14,0.23,0.66,-11.26,148.83
2010-01-15,0.23,1.44,-13.69,149.95
2010-01-16,0.23,0.99,-10.83,151
2010-01-17,0.23,1.57,-8.01,152.3
2010-01-18,0.23,0.74,-10.53,153.29
2010-01-19,0.23,0.26,-13.35,153.93
2010-01-20,0.23,0.27,-14.88,154.27
2010-01-21,0.23,0.09,-17.28,154.42
2010-01-22,0.23,0.02,-18.61,154.48
2010-01-23,0.23,0.02,-20.94,154.52
2010-01-24,0.23,0.03,-23.16,154.55
2010-01-25,0.23,0.06,-22.73,154.64
2010-01-26,0.23,0.01,-24.46,154.69
2010-01-27,0.23,0.08,-19.53,154.73
2010-01-28,0.23,0.56,-16.45,155.26
2010-01-29,0.23,0.97,-16.99,155.48
2010-01-30,0.23,0.62,-15.66,156.78
2010-01-31,0.23,0.61,-14.69,157.27
2010-02-01,0.22,0.98,-12.48,157.84
2010-02-02,0.22,0.45,-10.88,158.85
2010-02-03,0.22,2.18,-13.49,159.86
2010-02-04,0.22,1.45,-12.77,162.22
2010-02-05,0.22,0.28,-14.54,162.79
2010-02-06,0.22,0.19,-14.46,163.01
2010-02-07,0.22,0.11,-9.94,163.23
2010-02-08,0.22,0.7,-11.13,163.48
2010-02-09,0.21,0.12,-13.51,164.08
2010-02-10,0.21,0.04,-14.48,164.18
2010-02-11,0.21,0.08,-16.84,164.22
2010-02-12,0.21,0.16,-14.59,164.39
2010-02-13,0.21,0.65,-11.3,165.04
2010-02-14,0.21,2.61,-7.83,167.23
2010-02-15,0.21,0.01,-8.75,167.83
2010-02-16,0.21,0.14,-10.09,167.93
2010-02-17,0.21,0.46,-8.02,168.25
2010-02-18,0.2,0,-6.59,168.56
2010-02-19,0.2,0,-6.38,168.59
2010-02-20,0.2,0,-4.76,168.61
2010-02-21,0.2,0,-7.91,168.6
2010-02-22,0.2,0,-11.35,168.59
2010-02-23,0.2,0.21,-9.68,168.68
2010-02-24,0.2,0.86,-8.93,169.18
2010-02-25,0.2,1.57,-6.98,170.9
2010-02-26,0.2,0.06,-8.23,171.39
2010-02-27,0.19,0.02,-11.36,171.4
2010-02-28,0.19,0.8,-8.85,171.62
2010-03-01,0.19,4.05,-4.67,173.52
2010-03-02,0.19,1.51,-4.8,177.48
2010-03-03,0.19,0.86,-8.56,177.89
2010-03-04,0.19,0.49,-8.98,178.69
2010-03-05,0.19,0.61,-10.1,179.23
2010-03-06,0.19,2.13,-4.97,180.56
2010-03-07,0.19,0.46,-10.22,181.89
2010-03-08,0.19,0.15,-12.42,181.91
2010-03-09,0.18,1.4,-6.86,182.18
2010-03-10,0.18,0.21,-9.93,183.08
2010-03-11,0.18,1.23,-8.97,183.41
2010-03-12,0.18,1,-8.81,184.34
2010-03-13,0.18,0.77,-8.36,184.88
2010-03-14,0.18,4.85,-5.46,186.47
2010-03-15,0.18,1.6,-4.67,191.2
2010-03-16,0.18,0.05,-6.15,191.72
2010-03-17,0.18,3.78,-5.55,193.98
2010-03-18,0.18,0.64,-5.53,195.67
2010-03-19,0.18,1.37,-7.93,196.22
2010-03-20,0.18,0.91,-7.45,197.51
2010-03-21,0.18,0.25,-14.08,197.96
2010-03-22,0.18,0.13,-15.59,197.81
2010-03-23,0.18,4.7,-14.04,199.6
2010-03-24,0.18,4.29,-13.9,203.81
2010-03-25,0.18,1.07,-8.82,207.36
2010-03-26,0.18,0.41,-8.56,207.51
2010-03-27,0.18,2.38,-3.44,209.25
2010-03-28,0.18,1.69,-2.15,210.88
2010-03-29,0.18,0.91,-5.64,211.26
2010-03-30,0.18,2.11,-2.82,213.27
2010-03-31,0.18,0.31,-4.93,213.88
2010-04-01,0.18,0.4,-6.75,214.12
2010-04-02,0.18,0.08,-6.97,213.84
2010-04-03,0.18,1.73,-5.25,214.26
2010-04-04,0.18,0.18,-5.8,215.27
2010-04-05,0.18,0.03,-6.65,215.11
2010-04-06,0.17,1.56,-5.3,215.54
2010-04-07,0.17,1.44,-7.4,216.61
2010-04-08,0.17,0.82,-8.16,217.75
2010-04-09,0.17,1.59,-7.83,218.55
2010-04-10,0.17,0.57,-6.96,219.71
2010-04-11,0.17,0,-7.56,219.76
2010-04-12,0.17,0,-6.6,219.57
2010-04-13,0.17,0.14,-4.27,219.37
2010-04-14,0.17,0.09,-1.07,219.27
2010-04-15,0.17,0,0.47,218.6
2010-04-16,0.17,0,0.71,217.07
2010-04-17,0.17,0.47,0.55,215.15
2010-04-18,0.18,0.78,1.02,212.62
2010-04-19,0.18,0.1,2.13,207.57
2010-04-20,0.2,4.85,2.9,198.73
2010-04-21,0.25,0.31,-0.95,192.36
2010-04-22,0.31,1.01,-1.52,191.76
2010-04-23,0.37,0.07,-1.65,191.52
2010-04-24,0.43,0.26,0.67,190.69
2010-04-25,0.48,0,2.73,187.84
2010-04-26,0.52,0,2.01,182.98
2010-04-27,0.59,0,2.35,177.89
2010-04-28,0.69,0.03,2.86,171.57
2010-04-29,0.83,2.75,2.3,163.55
2010-04-30,1.01,0.06,0.52,157.28
2010-05-01,1.18,1.84,1.37,152.78
2010-05-02,1.3,1.34,-0.91,149.48
2010-05-03,1.35,3.24,0.36,149.99
2010-05-04,1.36,1.22,-0.39,148.92
2010-05-05,1.33,0.01,0.94,146.93
2010-05-06,1.29,0.26,1.75,143.41
2010-05-07,1.24,1.44,1.93,138.03
2010-05-08,1.2,0.66,2.1,131.21
2010-05-09,1.16,0.35,2.58,123.84
2010-05-10,1.15,0.12,2.66,117.16
2010-05-11,1.15,0.01,1.88,110.56
2010-05-12,1.15,1.49,1.83,104.33
2010-05-13,1.18,0.31,0.03,100.28
2010-05-14,1.18,0,2.98,95.64
2010-05-15,1.18,1.61,3.93,86.84
2010-05-16,1.19,0.01,2.89,78.97
2010-05-17,1.24,0,6.78,68.6
2010-05-18,1.3,3.39,7.26,55.35
2010-05-19,1.54,8.1,4.57,40.52
2010-05-20,2.18,0.03,4.42,33.89
2010-05-21,2.72,0,6.28,25.32
2010-05-22,2.97,1.76,7.37,17.85
2010-05-23,3.04,0.53,8.12,11.55
2010-05-24,3.05,0.2,7.01,7.2
2010-05-25,3.1,0.35,7.53,4.27
2010-05-26,3.1,0.57,8.85,2.45
2010-05-27,3.06,0.02,10.18,1.32
2010-05-28,3.07,0,10.85,0.68
2010-05-29,3.13,0.07,12.36,0.32
2010-05-30,3.12,0.15,13.1,0.14
2010-05-31,3.05,0.27,12.76,0.06
2010-06-01,2.98,1.08,12.22,0.03
2010-06-02,2.89,0.68,11.99,0.01
2010-06-03,2.89,7.69,5.42,0.27
2010-06-04,3.02,0.05,6.43,0.3
2010-06-05,2.94,0.26,7.23,0.12
2010-06-06,2.71,0.59,8.29,0.04
2010-06-07,2.47,2.77,8.12,0.01
2010-06-08,2.32,0.84,9.54,0
2010-06-09,2.21,5.16,9.13,0
2010-06-10,2.12,5.22,9.03,0
2010-06-11,2.09,0.71,7.76,0
2010-06-12,2.06,5.19,4.58,0.07
2010-06-13,2.03,1,4.57,0.21
2010-06-14,1.97,1.7,5.82,0.25
2010-06-15,1.88,0.74,8.59,0.1
2010-06-16,1.8,0.03,7.1,0.03
2010-06-17,1.74,0,8.35,0.01
2010-06-18,1.66,0.13,8.89,0
2010-06-19,1.6,0.37,9.88,0
2010-06-20,1.54,0.26,11.53,0
2010-06-21,1.49,4.06,12.81,0
2010-06-22,1.45,1.49,10.71,0
2010-06-23,1.46,13.78,8.36,0
2010-06-24,1.61,2.13,9.77,0
2010-06-25,1.86,0.2,9.62,0
2010-06-26,1.94,0.04,8.39,0
2010-06-27,1.89,1.77,8.04,0
2010-06-28,1.79,0.02,9.31,0
2010-06-29,1.72,11.57,7.59,0
2010-06-30,1.8,7.94,4.12,0.44
2010-07-01,2.11,0.06,6.68,0.3
2010-07-02,2.2,0.21,8.76,0.09
2010-07-03,2.14,0.78,7.47,0.02
2010-07-04,2.03,0.94,7.2,0.01
2010-07-05,1.93,0.01,7.45,0
2010-07-06,1.8,0.03,9.98,0
2010-07-07,1.68,0.03,11.98,0
2010-07-08,1.57,0.13,14.32,0
2010-07-09,1.48,0.03,15.22,0
2010-07-10,1.39,0.85,11.96,0
2010-07-11,1.32,1.47,7.69,0
2010-07-12,1.26,0.01,8.97,0
2010-07-13,1.22,0.01,11.61,0
2010-07-14,1.16,0.84,8.63,0
2010-07-15,1.12,0.32,7.92,0
2010-07-16,1.07,0.31,9.76,0
2010-07-17,1.03,1.15,10.4,0
2010-07-18,1,0.13,13.29,0
2010-07-19,0.97,0.06,13.64,0
2010-07-20,0.93,0.18,13.58,0
2010-07-21,0.89,0.19,11.2,0
2010-07-22,0.85,0.11,9.67,0
2010-07-23,0.82,5.88,6.78,0
2010-07-24,0.82,0.82,6.92,0
2010-07-25,0.85,0,9.84,0
2010-07-26,0.85,0,12.57,0
2010-07-27,0.83,0.08,15.5,0
2010-07-28,0.79,0,14.54,0
2010-07-29,0.75,0,14.02,0
2010-07-30,0.72,0,13.95,0
2010-07-31,0.69,1.58,12.18,0
2010-08-01,0.67,0.38,13.92,0
2010-08-02,0.64,0.97,16.27,0
2010-08-03,0.62,0,19.08,0
2010-08-04,0.61,0.02,19.36,0
2010-08-05,0.59,0.05,16.21,0
2010-08-06,0.57,3.49,11.28,0
2010-08-07,0.56,1.94,10.43,0
2010-08-08,0.56,1.09,8.64,0
2010-08-09,0.55,0,9.88,0
2010-08-10,0.53,0.18,10.47,0
2010-08-11,0.52,0.71,10.92,0
2010-08-12,0.5,0,11.69,0
2010-08-13,0.5,0,14.15,0
2010-08-14,0.49,0,16.93,0
2010-08-15,0.48,0,17.48,0
2010-08-16,0.47,0.02,17.44,0
2010-08-17,0.45,1.68,14.72,0
2010-08-18,0.44,7.5,9.04,0
2010-08-19,0.45,5.28,6.97,0
2010-08-20,0.48,15.71,5.71,0
2010-08-21,0.53,2.91,6.03,0
2010-08-22,0.59,1.31,7.09,0
2010-08-23,0.62,1.8,6.88,0
2010-08-24,0.63,2.15,7.33,0
2010-08-25,0.65,8.43,6.34,0
2010-08-26,0.7,8.33,5.97,0
2010-08-27,0.74,1.07,6.33,0
2010-08-28,0.78,0.42,6.97,0
2010-08-29,0.79,0.13,7.83,0
2010-08-30,0.78,3.58,6.87,0
2010-08-31,0.76,2.09,6.66,0
2010-09-01,0.75,5.11,6.39,0
2010-09-02,0.76,9.04,5.66,0.01
2010-09-03,0.84,6.4,4.92,0
2010-09-04,0.92,1.13,6.45,0
2010-09-05,0.98,4.23,3.78,0
2010-09-06,1.02,1.17,6.73,0
2010-09-07,1.04,0,6.97,0
2010-09-08,1.04,1.34,7.55,0
2010-09-09,1.02,3.31,6.66,0
2010-09-10,0.98,7.41,5.69,0
2010-09-11,0.96,1.4,5.89,0
2010-09-12,0.93,0.03,4.82,0
2010-09-13,0.9,0.01,5.43,0
2010-09-14,0.86,0.02,7.29,0
2010-09-15,0.83,0,6.53,0
2010-09-16,0.79,0,7.07,0
2010-09-17,0.77,0.03,7.05,0
2010-09-18,0.74,1.06,3.89,0.01
2010-09-19,0.71,0,0.76,0.02
2010-09-20,0.69,0,1.4,0.02
2010-09-21,0.66,0,2.02,0.02
2010-09-22,0.64,0.65,1.59,0.08
2010-09-23,0.62,1.58,1.41,0.37
2010-09-24,0.63,9.48,0.7,4.56
2010-09-25,0.66,2.35,1.58,8.07
2010-09-26,0.68,1.27,2.68,5.94
2010-09-27,0.71,9.75,1.72,5.82
2010-09-28,0.8,4.8,1.53,6.25
2010-09-29,0.96,1.97,2.09,5.77
2010-09-30,1.06,0,2.26,4.45
2010-10-01,1.1,0.01,4.22,3.26
2010-10-02,1.1,1.24,1.57,2.58
2010-10-03,1.07,0.01,1.45,2.41
2010-10-04,1.03,0.28,0.52,2.26
2010-10-05,1.01,8.18,0.63,6.47
2010-10-06,0.98,1.58,-0.24,9
2010-10-07,0.97,2.04,-0.48,9.22
2010-10-08,0.96,6.62,-0.44,15.88
2010-10-09,0.95,6.7,0.68,20.29
2010-10-10,0.97,9.18,0.29,24.92
2010-10-11,1.06,0.58,-1.49,26.63
2010-10-12,1.14,2.76,-1.18,27.49
2010-10-13,1.15,0.96,-0.07,29.18
2010-10-14,1.14,5.72,-1.23,32.59
2010-10-15,1.12,4.52,-2.38,36.42
2010-10-16,1.12,6.27,-2.44,42.36
2010-10-17,1.12,5.15,-0.95,45.94
2010-10-18,1.13,4.22,-0.31,50
2010-10-19,1.14,0.13,-2.94,50.76
2010-10-20,1.13,0.39,-2.02,50.68
2010-10-21,1.11,0.43,-2.75,51.12
2010-10-22,1.07,0.04,-5.47,51.11
2010-10-23,1,0.44,-4.68,51.35
2010-10-24,0.97,0.05,-5.11,51.29
2010-10-25,0.92,0.08,-5.14,51.19
2010-10-26,0.89,0.31,-2.99,51.29
2010-10-27,0.87,0.53,-3.08,51.68
2010-10-28,0.83,0.19,-5.2,51.86
2010-10-29,0.76,0.72,-3.33,52.28
2010-10-30,0.75,2.98,-4.12,53.87
2010-10-31,0.72,0.67,-6.7,55.43
2010-11-01,0.67,2.72,-5.55,57.66
2010-11-02,0.66,0.57,-1.5,58.9
2010-11-03,0.67,3.29,-2.96,60.5
2010-11-04,0.67,4.71,-1.12,64.25
2010-11-05,0.68,0.13,-4.97,65.68
2010-11-06,0.67,0.12,-5.61,65.7
2010-11-07,0.63,1.08,-6.7,66.43
2010-11-08,0.61,0.13,-6.52,66.88
2010-11-09,0.59,0.11,-7.98,66.99
2010-11-10,0.55,0.29,-8.66,67.22
2010-11-11,0.5,1.2,-8.13,68.1
2010-11-12,0.49,1.81,-5.46,69.36
2010-11-13,0.51,2.4,-2.04,72.36
2010-11-14,0.53,1.03,-4.31,73.18
2010-11-15,0.53,0.09,-7.52,73.91
2010-11-16,0.5,0.17,-12.18,74.03
2010-11-17,0.45,0.03,-17.51,74.01
2010-11-18,0.41,0.02,-17.12,73.99
2010-11-19,0.38,0.03,-16.46,74.03
2010-11-20,0.36,2.38,-13.35,75.07
2010-11-21,0.35,0.13,-16.15,76.54
2010-11-22,0.34,0.88,-19.52,76.63
2010-11-23,0.35,3.66,-13.75,80.23
2010-11-24,0.35,0.9,-7.76,81.64
2010-11-25,0.36,0.17,-8.37,82.24
2010-11-26,0.36,0.16,-10.46,82.38
2010-11-27,0.37,0.4,-12.48,82.69
2010-11-28,0.38,2.43,-12.92,83.71
2010-11-29,0.39,9.67,-12.32,88.86
2010-11-30,0.39,3.89,-14.31,97.5
2010-12-01,0.4,0.23,-23.52,98.82
2010-12-02,0.39,0.11,-25.76,99.02
