DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,1.83,0.01,-4.27,3.26
2009-10-02,1.7,0,-4.17,3.23
2009-10-03,1.59,0,-3.37,3.16
2009-10-04,1.49,0.47,-2.09,3.42
2009-10-05,1.37,0.41,-2.17,3.73
2009-10-06,1.26,0.29,-4.71,3.92
2009-10-07,1.18,2.24,-4.25,5.55
2009-10-08,1.08,0.06,-5.26,6.12
2009-10-09,0.97,0,-6.29,6.06
2009-10-10,0.89,0,-3.77,5.88
2009-10-11,0.8,0,-3.67,5.57
2009-10-12,0.72,0,-3.82,5.32
2009-10-13,0.64,0.11,-3.45,5.17
2009-10-14,0.58,0.04,-1.95,5.2
2009-10-15,0.52,0,-2.89,5.2
2009-10-16,0.47,0.21,-3.51,5.31
2009-10-17,0.42,0.87,-3.77,5.8
2009-10-18,0.38,0.15,-5.36,6.31
2009-10-19,0.34,0.36,-8.29,6.55
2009-10-20,0.31,0.04,-11.29,6.72
2009-10-21,0.27,0.02,-14.27,6.75
2009-10-22,0.24,0.14,-9.44,6.76
2009-10-23,0.21,0.36,-5.18,6.91
2009-10-24,0.19,0.5,-3.82,7.18
2009-10-25,0.17,0.22,-3.33,7.53
2009-10-26,0.15,0.14,-3.58,7.66
2009-10-27,0.13,2.4,-4.11,9.12
2009-10-28,0.12,0.96,-4.91,10.81
2009-10-29,0.11,0.64,-7.29,11.32
2009-10-30,0.1,0.65,-8.25,12.14
2009-10-31,0.08,0.18,-11.63,12.49
2009-11-01,0.08,1.02,-11.3,13.08
2009-11-02,0.07,0.34,-16.08,13.83
2009-11-03,0.06,0.09,-21.8,14.03
2009-11-04,0.05,0.02,-25.15,14.09
2009-11-05,0.05,1.54,-15.82,14.48
2009-11-06,0.04,5.7,-11.95,18.72
2009-11-07,0.04,2.47,-12.52,22.51
2009-11-08,0.03,2.16,-13.79,24.93
2009-11-09,0.03,0.22,-18.22,25.98
2009-11-10,0.02,0.11,-23.01,26.16
2009-11-11,0.02,0.22,-25.95,26.36
2009-11-12,0.02,0.71,-18.97,26.77
2009-11-13,0.02,0.12,-19.26,27.26
2009-11-14,0.01,1.27,-21.94,27.48
