DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,0.29,4.45,14.66,0
2009-10-02,0.31,2.34,10.16,0
2009-10-03,0.28,0.09,9.97,0
2009-10-04,0.25,0,12.44,0
2009-10-05,0.26,0.28,12.42,0
2009-10-06,0.25,0.03,16.47,0
2009-10-07,0.24,0.09,17.51,0
2009-10-08,0.22,0.09,17.68,0
2009-10-09,0.31,12.62,12.94,0
2009-10-10,0.29,4.72,12.24,0
2009-10-11,0.47,3.7,12.15,0
2009-10-12,0.39,19.13,8.15,0
2009-10-13,0.39,1.93,3.86,0.1
2009-10-14,0.37,1.41,2.06,0.54
2009-10-15,0.36,0.78,2.02,1.44
2009-10-16,0.34,1.5,3.01,1.53
2009-10-17,0.36,2.76,3.16,1.36
2009-10-18,0.4,1.44,3,1.26
2009-10-19,0.35,0.09,2.61,1.04
2009-10-20,0.33,0.06,3.46,0.83
2009-10-21,0.32,0,4.19,0.57
2009-10-22,0.31,2.34,10.22,0.27
2009-10-23,0.31,2.6,10.28,0.06
2009-10-24,0.31,5.61,8.31,0.01
2009-10-25,0.3,0,9.67,0
2009-10-26,0.28,0.98,10.09,0
2009-10-27,0.27,0.02,8.8,0
2009-10-28,0.27,0,8.16,0
2009-10-29,0.27,2.79,7.59,0
2009-10-30,0.35,0.78,4.02,0
2009-10-31,0.3,0,2.5,0
2009-11-01,0.3,0,1.9,0
2009-11-02,0.29,3.55,2.09,0.14
2009-11-03,0.46,10.14,1.3,3.13
2009-11-04,0.42,3.83,0.78,5.28
2009-11-05,0.46,0.82,3.88,4.51
2009-11-06,0.46,4.82,3.87,3.01
2009-11-07,0.55,3.15,4.74,1.69
2009-11-08,0.5,4.69,4.01,0.99
2009-11-09,0.64,0.05,5.82,0.5
2009-11-10,0.47,6.47,3.4,0.37
2009-11-11,0.43,1.63,3.89,0.56
2009-11-12,0.41,0.01,4.21,0.42
2009-11-13,0.39,0,5.08,0.3
2009-11-14,0.39,0,6.45,0.19
2009-11-15,0.37,0.49,7.18,0.1
2009-11-16,0.34,0,6.76,0.06
2009-11-17,0.33,0,8.55,0.04
2009-11-18,0.32,2.75,8.24,0.02
2009-11-19,0.32,0,7.12,0.01
2009-11-20,0.32,0,6.98,0.01
2009-11-21,0.31,0.04,5.79,0
2009-11-22,0.31,0.14,4.4,0
2009-11-23,0.36,5.48,4.75,0
2009-11-24,0.33,0.84,6.88,0
2009-11-25,0.33,0,7.05,0
2009-11-26,0.33,0,4.61,0
2009-11-27,0.33,0.82,4.45,0
2009-11-28,0.34,4.14,4.14,0
2009-11-29,0.31,0,5.09,0
2009-11-30,0.29,0.16,9.6,0
2009-12-01,0.57,13.12,6.34,0.01
2009-12-02,0.53,0,1.98,0.04
2009-12-03,0.39,0,1.59,0.03
2009-12-04,0.38,0.08,2.69,0.03
2009-12-05,0.36,0.01,2.06,0.02
2009-12-06,0.34,0,1.54,0.02
2009-12-07,0.32,0.15,2.89,0.02
2009-12-08,0.32,7.03,3.11,0.01
2009-12-09,0.34,3.29,3.4,0.43
2009-12-10,0.33,1.17,3.23,0.4
2009-12-11,0.32,4.89,1.79,0.46
